neuron_id,spike_time
0,2.6500000000999946 ms
0,6.500000000100025 ms
0,11.600000000100097 ms
0,16.000000000100158 ms
0,23.15000000009975 ms
0,29.050000000099416 ms
0,32.60000000009922 ms
0,36.85000000009898 ms
0,40.25000000009879 ms
0,46.950000000098406 ms
0,50.6000000000982 ms
0,54.150000000098 ms
0,59.75000000009768 ms
0,63.55000000009746 ms
0,68.10000000009836 ms
0,72.2000000000993 ms
0,75.90000000010014 ms
0,80.10000000010109 ms
0,83.6500000001019 ms
0,87.40000000010275 ms
0,92.85000000010399 ms
0,96.60000000010484 ms
0,102.45000000010617 ms
0,106.40000000010707 ms
0,110.65000000010804 ms
0,114.55000000010892 ms
0,118.75000000010988 ms
0,123.00000000011084 ms
0,129.15000000011221 ms
0,134.55000000011344 ms
0,138.45000000011433 ms
0,142.3000000001152 ms
0,146.10000000011607 ms
0,150.6500000001171 ms
0,154.550000000118 ms
0,159.55000000011913 ms
0,163.20000000011996 ms
0,167.00000000012082 ms
0,170.4500000001216 ms
0,174.8000000001226 ms
0,178.65000000012347 ms
0,182.50000000012434 ms
0,186.95000000012536 ms
0,190.6500000001262 ms
0,195.0500000001272 ms
0,200.50000000012844 ms
0,206.70000000012985 ms
0,211.10000000013085 ms
0,216.45000000013206 ms
0,220.25000000013293 ms
0,227.95000000013468 ms
0,232.55000000013573 ms
0,237.10000000013676 ms
0,241.50000000013776 ms
0,247.95000000013923 ms
0,252.50000000014026 ms
0,257.0000000001401 ms
0,262.9500000001347 ms
0,266.6000000001314 ms
0,272.35000000012616 ms
0,276.0500000001228 ms
0,290.30000000010983 ms
0,294.6000000001059 ms
0,299.0500000001019 ms
0,303.300000000098 ms
0,307.10000000009455 ms
0,313.35000000008887 ms
0,317.65000000008496 ms
0,322.5500000000805 ms
0,327.2000000000763 ms
0,331.7000000000722 ms
0,335.80000000006845 ms
0,339.2500000000653 ms
0,343.4500000000615 ms
0,347.1500000000581 ms
0,353.4500000000524 ms
0,359.7000000000467 ms
0,364.2500000000426 ms
0,368.8500000000384 ms
0,373.30000000003434 ms
0,376.90000000003107 ms
0,383.20000000002534 ms
0,388.1000000000209 ms
0,394.95000000001465 ms
0,399.00000000001097 ms
0,406.8000000000039 ms
0,411.34999999999974 ms
0,417.1999999999944 ms
0,421.34999999999064 ms
0,426.2499999999862 ms
0,431.4999999999814 ms
0,437.2499999999762 ms
0,440.59999999997314 ms
0,445.54999999996863 ms
0,452.0499999999627 ms
0,457.3499999999579 ms
0,462.89999999995285 ms
0,466.8999999999492 ms
0,471.34999999994517 ms
0,475.0499999999418 ms
0,478.7999999999384 ms
0,482.7499999999348 ms
0,486.4999999999314 ms
0,491.14999999992716 ms
