neuron_id,spike_time
0,15.0 ms
0,26.5 ms
0,28.950000000000003 ms
0,40.2 ms
0,55.05 ms
0,59.400000000000006 ms
0,63.25 ms
0,73.10000000000002 ms
0,81.35000000000002 ms
0,101.5 ms
0,138.4 ms
0,157.70000000000002 ms
0,178.65 ms
0,195.80000000000004 ms
0,199.25000000000003 ms
0,228.20000000000002 ms
0,258.45000000000005 ms
0,263.6500000000001 ms
0,284.1 ms
0,314.45000000000005 ms
0,328.95000000000005 ms
0,336.0 ms
0,347.60000000000014 ms
0,348.05000000000007 ms
0,374.1 ms
0,376.30000000000007 ms
0,391.35 ms
0,399.35 ms
0,401.1500000000001 ms
0,412.60000000000014 ms
0,432.60000000000014 ms
0,439.35000000000014 ms
0,465.25 ms
0,473.1500000000001 ms
0,479.1 ms
0,501.9 ms
0,513.95 ms
0,521.1500000000001 ms
0,551.7 ms
0,554.45 ms
0,558.8500000000001 ms
0,563.5 ms
0,579.55 ms
0,589.8499999999999 ms
0,604.1499999999999 ms
0,625.6499999999999 ms
0,631.0999999999999 ms
0,639.6999999999998 ms
0,644.05 ms
0,647.0 ms
0,676.5 ms
0,678.0 ms
0,679.1500000000001 ms
0,688.25 ms
0,722.5999999999999 ms
0,724.8000000000002 ms
0,740.0999999999999 ms
0,741.95 ms
0,764.4000000000001 ms
0,777.3000000000002 ms
0,777.5 ms
0,791.5500000000002 ms
0,801.0999999999999 ms
0,821.4000000000001 ms
0,846.55 ms
0,851.95 ms
0,872.2499999999998 ms
0,874.2499999999998 ms
0,887.3499999999999 ms
0,906.05 ms
0,915.2 ms
0,924.55 ms
0,925.0999999999999 ms
0,930.5 ms
0,956.3999999999999 ms
0,962.5999999999999 ms
0,981.8999999999999 ms
0,996.6999999999998 ms
0,1012.8999999999999 ms
0,1021.6999999999998 ms
0,1040.7999999999997 ms
0,1057.6999999999998 ms
0,1070.5499999999997 ms
0,1073.7999999999997 ms
0,1137.1999999999998 ms
0,1143.6 ms
0,1146.0 ms
0,1170.65 ms
0,1180.0500000000002 ms
0,1180.5500000000002 ms
0,1183.8500000000004 ms
0,1217.6999999999998 ms
0,1260.4 ms
0,1262.25 ms
0,1266.4499999999998 ms
0,1308.0500000000002 ms
0,1317.6 ms
0,1351.9 ms
0,1354.15 ms
0,1403.4 ms
0,1436.5499999999997 ms
0,1475.9 ms
0,1480.4 ms
0,1521.4499999999998 ms
0,1569.1 ms
0,1574.7999999999997 ms
0,1584.9500000000003 ms
0,1601.9500000000003 ms
0,1616.9500000000003 ms
0,1619.4500000000003 ms
0,1631.9 ms
0,1652.0500000000002 ms
0,1673.4500000000003 ms
0,1695.6000000000004 ms
0,1698.7000000000003 ms
0,1720.3000000000002 ms
0,1721.6000000000004 ms
0,1724.3000000000002 ms
0,1727.0500000000002 ms
0,1734.8000000000002 ms
0,1743.4500000000003 ms
0,1758.4 ms
0,1758.8500000000004 ms
0,1780.5500000000002 ms
0,1786.7000000000007 ms
0,1809.7500000000005 ms
0,1825.6000000000004 ms
0,1828.7000000000003 ms
0,1833.15 ms
0,1858.0000000000005 ms
0,1859.6 ms
0,1862.9 ms
0,1864.4500000000003 ms
0,1870.9500000000003 ms
0,1872.0 ms
0,1873.25 ms
0,1875.75 ms
0,1882.25 ms
0,1888.6 ms
0,1896.6 ms
0,1897.15 ms
0,1916.35 ms
0,1919.85 ms
0,1924.35 ms
0,1973.9499999999998 ms
0,1977.9499999999998 ms
0,1984.9499999999998 ms
0,1985.8999999999996 ms
0,1991.6499999999996 ms
0,2002.75 ms
0,2005.1499999999996 ms
0,2013.0500000000002 ms
0,2048.9 ms
0,2049.35 ms
0,2057.2500000000005 ms
0,2060.4500000000003 ms
