neuron_id,spike_time
0,2.500000000099995 ms
0,6.600000000100026 ms
0,10.300000000100079 ms
0,15.95000000010016 ms
0,21.200000000099863 ms
0,24.500000000099675 ms
0,27.5500000000995 ms
0,33.250000000099185 ms
0,36.90000000009898 ms
0,41.7500000000987 ms
0,45.400000000098494 ms
0,49.15000000009828 ms
0,53.450000000098036 ms
0,57.150000000097826 ms
0,60.350000000097644 ms
0,64.7500000000976 ms
0,68.20000000009838 ms
0,72.80000000009943 ms
0,77.5000000001005 ms
0,80.80000000010125 ms
0,84.40000000010207 ms
0,88.85000000010308 ms
0,92.25000000010385 ms
0,96.50000000010482 ms
0,100.20000000010566 ms
0,103.4500000001064 ms
0,107.75000000010738 ms
0,112.00000000010834 ms
0,115.3500000001091 ms
0,122.25000000011067 ms
0,125.95000000011152 ms
0,129.5000000001123 ms
0,133.20000000011314 ms
0,137.25000000011406 ms
0,141.350000000115 ms
0,145.65000000011597 ms
0,149.85000000011692 ms
0,153.90000000011784 ms
0,157.30000000011862 ms
0,161.80000000011964 ms
0,168.90000000012125 ms
0,174.0000000001224 ms
0,177.65000000012324 ms
0,181.70000000012416 ms
0,185.10000000012494 ms
0,188.80000000012578 ms
0,192.50000000012662 ms
0,197.45000000012774 ms
0,201.75000000012872 ms
0,207.70000000013007 ms
0,211.40000000013092 ms
0,215.3500000001318 ms
0,219.40000000013274 ms
0,223.35000000013363 ms
0,227.95000000013468 ms
0,232.0000000001356 ms
0,235.5000000001364 ms
0,241.05000000013766 ms
0,245.2000000001386 ms
0,250.80000000013987 ms
0,254.15000000014064 ms
0,258.60000000013866 ms
0,261.7500000001358 ms
0,265.4000000001325 ms
0,269.1000000001291 ms
0,273.00000000012557 ms
0,277.2500000001217 ms
0,281.05000000011825 ms
0,284.55000000011506 ms
0,288.85000000011115 ms
0,292.70000000010765 ms
0,296.00000000010465 ms
0,299.8000000001012 ms
0,304.5500000000969 ms
0,309.30000000009255 ms
0,313.5500000000887 ms
0,317.45000000008514 ms
0,321.85000000008114 ms
0,326.1000000000773 ms
0,329.20000000007445 ms
0,333.8500000000702 ms
0,337.8500000000666 ms
0,341.9000000000629 ms
0,348.400000000057 ms
0,352.3500000000534 ms
0,356.5500000000496 ms
0,360.3500000000461 ms
0,365.25000000004167 ms
0,370.7000000000367 ms
0,373.95000000003375 ms
0,378.15000000002993 ms
0,382.500000000026 ms
0,394.0500000000155 ms
0,398.35000000001156 ms
0,402.8000000000075 ms
0,408.15000000000265 ms
0,411.64999999999947 ms
0,417.5499999999941 ms
0,421.4999999999905 ms
0,425.64999999998673 ms
0,430.59999999998223 ms
0,433.89999999997923 ms
0,439.649999999974 ms
0,443.74999999997027 ms
0,447.59999999996677 ms
0,454.54999999996045 ms
0,460.6499999999549 ms
0,464.2999999999516 ms
0,467.49999999994867 ms
0,471.0999999999454 ms
0,475.54999999994135 ms
0,479.8999999999374 ms
0,483.89999999993375 ms
0,489.74999999992843 ms
0,493.499999999925 ms
0,498.84999999992016 ms
0,503.79999999991566 ms
0,508.2499999999116 ms
0,512.6499999999077 ms
0,516.3499999999043 ms
0,519.999999999901 ms
0,524.1499999998972 ms
0,527.2499999998944 ms
0,531.2999999998907 ms
