neuron_id,spike_time
0,26.85 ms
0,86.6 ms
0,89.6 ms
0,101.04999999999998 ms
0,105.75 ms
0,109.19999999999999 ms
0,112.75 ms
0,127.69999999999999 ms
0,134.7 ms
0,139.0 ms
0,143.95 ms
0,146.64999999999998 ms
0,152.75 ms
0,168.34999999999997 ms
0,202.64999999999998 ms
0,224.45 ms
0,225.05 ms
0,240.59999999999997 ms
0,245.3 ms
0,251.7 ms
0,256.2 ms
0,279.55 ms
0,301.74999999999994 ms
0,311.55 ms
0,312.15000000000003 ms
0,317.2000000000001 ms
0,331.50000000000006 ms
0,362.25000000000006 ms
0,364.7 ms
0,372.00000000000006 ms
0,379.8500000000001 ms
0,384.8 ms
0,404.1000000000001 ms
0,413.65000000000015 ms
0,418.1000000000001 ms
0,425.8 ms
0,433.0500000000001 ms
0,443.4500000000001 ms
0,448.15000000000003 ms
0,464.2000000000001 ms
0,470.45 ms
0,483.8 ms
0,493.40000000000003 ms
0,495.9500000000001 ms
0,539.5500000000002 ms
0,544.6500000000001 ms
0,555.75 ms
0,569.8000000000002 ms
0,595.75 ms
0,603.2000000000003 ms
0,608.6500000000001 ms
0,612.6500000000001 ms
0,613.5500000000002 ms
0,617.3500000000001 ms
0,621.8500000000001 ms
0,629.8500000000001 ms
0,634.7500000000002 ms
0,668.7 ms
0,673.6000000000001 ms
0,684.45 ms
0,692.7500000000002 ms
0,710.55 ms
0,711.0000000000002 ms
0,722.05 ms
0,749.1500000000001 ms
0,750.1000000000001 ms
0,754.7500000000002 ms
0,773.45 ms
0,787.2500000000002 ms
0,788.3 ms
0,828.6500000000001 ms
0,867.8500000000001 ms
0,870.9000000000001 ms
0,887.8000000000002 ms
0,892.0 ms
0,911.9000000000001 ms
0,914.25 ms
0,929.25 ms
0,929.75 ms
0,939.6500000000001 ms
0,946.5 ms
0,952.7000000000003 ms
0,961.3000000000002 ms
0,966.0000000000002 ms
0,966.8500000000001 ms
0,981.6000000000001 ms
0,985.2000000000003 ms
0,991.2500000000002 ms
0,1010.4000000000003 ms
0,1020.0000000000002 ms
0,1022.4000000000003 ms
0,1024.4 ms
0,1025.4500000000003 ms
0,1033.9500000000003 ms
0,1037.85 ms
0,1054.15 ms
0,1083.6 ms
0,1108.0000000000005 ms
0,1138.6 ms
0,1173.15 ms
0,1178.85 ms
0,1189.85 ms
0,1208.0000000000005 ms
0,1208.6 ms
0,1227.4500000000003 ms
0,1229.0499999999997 ms
0,1243.75 ms
0,1258.8000000000002 ms
0,1273.5500000000002 ms
0,1279.3999999999996 ms
0,1283.35 ms
0,1298.6 ms
0,1318.5499999999997 ms
0,1344.65 ms
0,1357.6 ms
0,1360.0499999999997 ms
0,1373.25 ms
0,1401.6 ms
0,1403.35 ms
0,1436.7999999999997 ms
0,1443.25 ms
0,1463.5 ms
0,1490.25 ms
0,1495.1999999999998 ms
0,1497.0 ms
0,1501.0500000000002 ms
0,1529.3000000000002 ms
0,1530.9499999999998 ms
0,1533.5500000000002 ms
0,1533.8000000000002 ms
0,1536.0 ms
0,1548.1 ms
0,1585.9 ms
0,1610.35 ms
0,1632.4 ms
0,1642.4499999999998 ms
0,1668.6 ms
0,1677.35 ms
0,1703.9499999999998 ms
0,1710.1999999999998 ms
0,1733.2999999999997 ms
0,1777.1 ms
0,1777.2499999999995 ms
0,1780.2999999999997 ms
0,1797.6499999999996 ms
0,1806.1499999999996 ms
0,1836.8999999999996 ms
0,1857.9499999999998 ms
0,1877.2499999999995 ms
0,1910.4499999999994 ms
0,1919.4499999999994 ms
0,1938.1 ms
0,1962.8999999999996 ms
0,1973.5999999999995 ms
0,1988.3999999999996 ms
0,2002.7499999999995 ms
0,2003.2499999999995 ms
