neuron_id,spike_time
0,2.500000000099995 ms
0,9.70000000010007 ms
0,14.350000000100136 ms
0,19.100000000099982 ms
0,23.300000000099743 ms
0,29.750000000099377 ms
0,36.050000000099025 ms
0,40.0500000000988 ms
0,44.150000000098565 ms
0,49.30000000009827 ms
0,53.650000000098025 ms
0,59.800000000097675 ms
0,64.80000000009761 ms
0,69.10000000009859 ms
0,72.50000000009936 ms
0,76.30000000010023 ms
0,81.0500000001013 ms
0,85.25000000010226 ms
0,89.00000000010311 ms
0,93.15000000010406 ms
0,97.05000000010494 ms
0,100.75000000010579 ms
0,104.55000000010665 ms
0,107.90000000010741 ms
0,112.00000000010834 ms
0,117.90000000010969 ms
0,121.55000000011051 ms
0,126.15000000011156 ms
0,130.55000000011253 ms
0,135.15000000011358 ms
0,138.95000000011444 ms
0,142.35000000011522 ms
0,146.55000000011617 ms
0,151.0500000001172 ms
0,154.50000000011798 ms
0,159.9000000001192 ms
0,168.00000000012105 ms
0,172.25000000012201 ms
0,175.85000000012283 ms
0,180.45000000012388 ms
0,184.60000000012482 ms
0,189.85000000012602 ms
0,193.90000000012694 ms
0,198.75000000012804 ms
0,205.10000000012948 ms
0,208.90000000013035 ms
0,213.75000000013145 ms
0,222.10000000013335 ms
0,227.1500000001345 ms
0,231.35000000013545 ms
0,234.6500000001362 ms
0,238.85000000013716 ms
0,243.70000000013826 ms
0,248.00000000013924 ms
0,252.50000000014026 ms
0,257.5500000001396 ms
0,262.600000000135 ms
0,266.65000000013134 ms
0,270.350000000128 ms
0,275.2500000001235 ms
0,281.4000000001179 ms
0,285.5000000001142 ms
0,289.50000000011056 ms
0,294.0500000001064 ms
0,299.10000000010183 ms
0,303.2000000000981 ms
0,307.20000000009446 ms
0,311.1000000000909 ms
0,316.25000000008623 ms
0,321.3500000000816 ms
0,326.5000000000769 ms
0,330.85000000007295 ms
0,334.8500000000693 ms
0,338.8000000000657 ms
0,342.60000000006227 ms
0,349.75000000005576 ms
0,353.900000000052 ms
0,357.9500000000483 ms
0,361.7000000000449 ms
0,367.45000000003967 ms
0,372.20000000003535 ms
0,377.4000000000306 ms
0,382.0500000000264 ms
0,385.50000000002325 ms
0,390.25000000001893 ms
0,394.1000000000154 ms
0,399.5000000000105 ms
0,404.85000000000565 ms
0,408.60000000000224 ms
0,413.6999999999976 ms
0,418.3499999999934 ms
0,421.99999999999005 ms
0,428.1999999999844 ms
0,432.79999999998023 ms
0,441.99999999997186 ms
0,448.1999999999662 ms
0,452.14999999996263 ms
0,456.39999999995877 ms
0,461.9499999999537 ms
0,465.74999999995026 ms
0,469.349999999947 ms
0,473.69999999994303 ms
0,478.84999999993835 ms
0,488.29999999992975 ms
0,491.79999999992657 ms
0,499.09999999991993 ms
0,504.3999999999151 ms
0,508.2499999999116 ms
0,511.9999999999082 ms
0,518.5999999999023 ms
0,522.5499999998987 ms
0,526.4499999998951 ms
0,530.999999999891 ms
0,536.6999999998858 ms
0,541.4999999998814 ms
0,545.9999999998773 ms
0,551.0499999998727 ms
0,556.0499999998682 ms
0,559.9499999998646 ms
0,564.2999999998607 ms
0,568.7499999998566 ms
0,572.4999999998532 ms
0,576.4499999998496 ms
0,581.7499999998448 ms
0,588.099999999839 ms
0,595.899999999832 ms
0,600.8999999998274 ms
0,604.7999999998239 ms
0,610.1999999998189 ms
0,613.9999999998155 ms
0,617.849999999812 ms
0,621.099999999809 ms
0,624.4999999998059 ms
0,628.5999999998022 ms
0,635.3499999997961 ms
0,639.3499999997924 ms
0,647.4499999997851 ms
0,651.899999999781 ms
0,657.0999999997763 ms
0,663.4499999997705 ms
0,667.249999999767 ms
0,672.6999999997621 ms
0,677.0999999997581 ms
0,682.8499999997529 ms
0,687.2999999997488 ms
0,693.4499999997432 ms
0,699.7999999997375 ms
0,704.3999999997333 ms
0,709.4999999997286 ms
0,714.3499999997242 ms
0,718.3999999997205 ms
0,723.2499999997161 ms
0,728.9999999997109 ms
0,732.9499999997073 ms
0,737.3499999997033 ms
0,742.4499999996987 ms
0,748.2999999996933 ms
0,752.2499999996897 ms
0,756.2499999996861 ms
0,759.649999999683 ms
0,762.99999999968 ms
0,766.5499999996767 ms
0,770.3999999996732 ms
0,777.6499999996666 ms
0,781.599999999663 ms
0,787.9999999996572 ms
0,791.7999999996538 ms
0,796.6499999996494 ms
0,801.7999999996447 ms
0,805.2999999996415 ms
0,813.6999999996339 ms
0,818.4499999996295 ms
0,821.5999999996267 ms
0,826.2999999996224 ms
0,831.2499999996179 ms
0,837.2999999996124 ms
0,841.0999999996089 ms
0,844.4999999996058 ms
0,850.7499999996002 ms
0,856.2999999995951 ms
0,860.849999999591 ms
0,868.9499999995836 ms
0,875.9999999995772 ms
0,880.4499999995732 ms
0,885.3999999995686 ms
0,888.9999999995654 ms
0,893.5499999995612 ms
0,899.299999999556 ms
0,904.6999999995511 ms
0,909.0999999995471 ms
0,917.999999999539 ms
0,922.1499999995352 ms
0,926.6999999995311 ms
0,932.6999999995256 ms
0,937.3999999995214 ms
0,941.8999999995173 ms
0,948.9999999995108 ms
0,953.5999999995066 ms
0,957.2999999995033 ms
0,966.5999999994948 ms
0,970.4499999994913 ms
0,975.6499999994866 ms
0,979.4999999994831 ms
0,983.8999999994791 ms
0,988.7999999994746 ms
0,994.5999999994693 ms
0,999.1499999994652 ms
0,1002.599999999462 ms
0,1007.049999999458 ms
0,1011.3499999994541 ms
0,1017.0499999994489 ms
0,1024.4499999994441 ms
0,1029.099999999461 ms
0,1033.749999999478 ms
0,1037.7999999994927 ms
0,1044.0999999995156 ms
0,1050.0499999995372 ms
0,1054.2499999995525 ms
0,1058.2999999995673 ms
0,1064.4999999995898 ms
0,1068.2999999996036 ms
