neuron_id,spike_time
0,7.25 ms
0,22.700000000000003 ms
0,32.25 ms
0,32.7 ms
0,52.60000000000001 ms
0,70.30000000000001 ms
0,89.20000000000002 ms
0,95.65 ms
0,98.50000000000003 ms
0,105.00000000000003 ms
0,110.50000000000003 ms
0,119.70000000000002 ms
0,123.45000000000002 ms
0,135.9 ms
0,146.85 ms
0,150.00000000000003 ms
0,162.4 ms
0,180.45000000000002 ms
0,187.45000000000002 ms
0,204.65 ms
0,204.85 ms
0,219.65 ms
0,229.20000000000002 ms
0,238.50000000000003 ms
0,250.65000000000006 ms
0,263.75 ms
0,266.85000000000014 ms
0,272.05000000000007 ms
0,280.5000000000001 ms
0,289.9 ms
0,290.7500000000001 ms
0,300.80000000000007 ms
0,308.55000000000007 ms
0,309.4000000000001 ms
0,310.70000000000005 ms
0,314.0500000000002 ms
0,324.10000000000014 ms
0,327.60000000000014 ms
0,334.10000000000014 ms
0,350.4000000000001 ms
0,386.45000000000016 ms
0,400.5000000000001 ms
0,418.5000000000001 ms
0,423.6500000000002 ms
0,432.80000000000007 ms
0,454.80000000000007 ms
0,461.10000000000014 ms
0,493.9000000000001 ms
0,502.60000000000014 ms
0,509.95000000000016 ms
0,583.2500000000001 ms
0,586.7000000000002 ms
0,600.4000000000002 ms
0,603.2500000000003 ms
0,622.0500000000003 ms
0,624.3500000000003 ms
0,628.8000000000003 ms
0,643.3500000000003 ms
0,649.0500000000003 ms
0,649.5500000000001 ms
0,660.6 ms
0,671.5000000000001 ms
0,680.2000000000002 ms
0,681.4500000000002 ms
0,682.2000000000002 ms
0,710.2500000000001 ms
0,714.4 ms
0,716.35 ms
0,717.0000000000001 ms
0,720.1000000000003 ms
0,734.0500000000003 ms
0,736.5000000000003 ms
0,756.5500000000003 ms
0,770.1000000000003 ms
0,779.4000000000002 ms
0,781.2000000000002 ms
0,794.2500000000001 ms
0,804.9 ms
0,815.4499999999999 ms
0,827.4 ms
0,838.35 ms
0,845.4999999999999 ms
0,854.6 ms
0,878.6 ms
0,888.9999999999999 ms
0,910.9 ms
0,947.6999999999999 ms
0,957.2499999999999 ms
0,969.0499999999998 ms
0,991.1999999999997 ms
0,1006.0499999999998 ms
0,1011.7999999999998 ms
0,1015.65 ms
0,1020.7999999999998 ms
0,1033.5499999999997 ms
0,1039.1499999999996 ms
0,1048.9499999999998 ms
0,1052.0499999999993 ms
0,1056.2499999999995 ms
0,1059.5499999999997 ms
0,1066.5499999999997 ms
0,1088.8999999999992 ms
0,1108.7999999999997 ms
0,1111.7999999999997 ms
0,1114.3499999999995 ms
0,1123.7999999999993 ms
0,1125.9999999999995 ms
0,1143.4499999999994 ms
0,1182.0499999999997 ms
0,1196.9999999999995 ms
0,1203.3499999999995 ms
0,1231.8499999999995 ms
0,1235.6999999999994 ms
0,1237.9499999999994 ms
0,1254.3999999999992 ms
0,1264.0499999999997 ms
0,1270.1999999999994 ms
0,1285.3999999999996 ms
0,1287.3499999999995 ms
0,1299.5 ms
0,1302.8499999999995 ms
0,1313.1999999999998 ms
0,1321.0999999999995 ms
0,1340.8499999999995 ms
0,1351.5999999999995 ms
0,1363.3499999999995 ms
0,1375.0 ms
0,1399.2999999999997 ms
0,1400.1499999999996 ms
0,1418.5999999999995 ms
0,1435.5999999999995 ms
0,1444.0 ms
0,1447.3999999999996 ms
0,1456.4499999999998 ms
0,1469.8999999999996 ms
0,1475.3999999999996 ms
0,1493.0 ms
0,1502.5999999999995 ms
0,1512.6499999999996 ms
0,1512.8499999999995 ms
0,1532.8999999999996 ms
0,1568.5999999999995 ms
0,1571.0999999999995 ms
0,1576.0999999999995 ms
0,1578.1999999999998 ms
0,1583.8999999999996 ms
0,1586.8999999999996 ms
0,1601.6499999999996 ms
0,1622.8499999999995 ms
0,1629.0 ms
0,1644.4499999999998 ms
0,1659.4499999999998 ms
0,1660.2999999999997 ms
0,1681.9999999999995 ms
0,1693.6 ms
0,1714.6999999999994 ms
0,1743.9499999999994 ms
0,1744.2499999999995 ms
0,1747.5499999999997 ms
0,1751.8999999999992 ms
0,1771.1999999999994 ms
0,1778.9999999999995 ms
0,1788.7499999999995 ms
0,1801.099999999999 ms
0,1802.0499999999993 ms
0,1817.499999999999 ms
0,1829.7999999999993 ms
0,1867.9499999999994 ms
0,1870.2499999999995 ms
0,1886.0499999999993 ms
0,1898.7999999999993 ms
0,1904.9499999999994 ms
0,1918.0499999999993 ms
0,1935.999999999999 ms
0,1953.0999999999995 ms
0,1966.8499999999995 ms
0,1972.949999999999 ms
0,1996.449999999999 ms
0,2001.199999999999 ms
0,2007.3999999999992 ms
0,2016.1499999999992 ms
0,2030.599999999999 ms
0,2051.5999999999995 ms
0,2083.5499999999993 ms
0,2092.5499999999993 ms
0,2111.7999999999993 ms
0,2125.7999999999993 ms
0,2127.0499999999993 ms
0,2131.449999999999 ms
0,2134.0 ms
0,2158.699999999999 ms
0,2169.6499999999996 ms
0,2185.2999999999993 ms
0,2190.449999999999 ms
0,2205.2999999999993 ms
0,2241.449999999999 ms
0,2242.1499999999996 ms
0,2276.8999999999996 ms
0,2319.249999999999 ms
0,2332.449999999999 ms
0,2339.2999999999993 ms
0,2358.8499999999985 ms
0,2359.8499999999985 ms
0,2363.949999999999 ms
0,2382.949999999999 ms
0,2435.749999999999 ms
0,2435.8499999999995 ms
0,2438.5499999999984 ms
0,2465.6499999999987 ms
0,2465.8999999999987 ms
0,2488.1499999999987 ms
0,2490.199999999999 ms
0,2512.949999999999 ms
0,2516.8499999999985 ms
0,2561.199999999999 ms
0,2565.6499999999987 ms
0,2577.5499999999984 ms
0,2588.699999999999 ms
0,2593.3499999999985 ms
0,2621.749999999999 ms
0,2641.0499999999993 ms
0,2651.199999999999 ms
0,2652.75 ms
0,2653.7999999999993 ms
0,2677.95 ms
0,2700.55 ms
0,2710.0999999999995 ms
0,2718.45 ms
0,2799.1499999999996 ms
0,2801.2 ms
0,2814.05 ms
0,2815.8499999999995 ms
0,2833.55 ms
0,2848.1499999999996 ms
0,2865.2 ms
0,2891.3999999999996 ms
0,2894.5499999999993 ms
0,2901.2 ms
0,2913.1499999999996 ms
0,2916.25 ms
0,2925.8499999999995 ms
0,2926.45 ms
0,2958.7 ms
0,2991.7999999999993 ms
0,2997.8999999999996 ms
0,3001.8999999999996 ms
0,3020.8999999999996 ms
0,3026.999999999999 ms
0,3031.1499999999987 ms
0,3045.0499999999993 ms
0,3052.699999999999 ms
0,3061.699999999999 ms
0,3078.75 ms
0,3091.25 ms
0,3094.0999999999995 ms
0,3105.8499999999995 ms
0,3120.8499999999995 ms
0,3135.95 ms
0,3136.7 ms
0,3154.7 ms
0,3165.7999999999993 ms
0,3189.249999999999 ms
0,3223.5499999999993 ms
0,3233.1499999999996 ms
0,3234.8999999999996 ms
0,3257.249999999999 ms
0,3276.2999999999993 ms
0,3310.3499999999995 ms
0,3315.7 ms
0,3380.1499999999987 ms
0,3396.7999999999993 ms
0,3412.949999999999 ms
0,3423.449999999999 ms
0,3430.5999999999995 ms
0,3431.7999999999993 ms
0,3459.5499999999993 ms
0,3460.699999999999 ms
0,3467.0 ms
0,3470.3999999999996 ms
0,3475.2 ms
0,3488.95 ms
0,3500.75 ms
0,3513.6000000000004 ms
0,3517.45 ms
0,3520.25 ms
0,3548.05 ms
0,3554.2 ms
0,3562.55 ms
0,3564.9000000000005 ms
0,3585.7 ms
0,3600.95 ms
0,3609.500000000001 ms
0,3631.9000000000005 ms
0,3640.6000000000004 ms
0,3651.4000000000005 ms
0,3660.9000000000005 ms
0,3682.500000000001 ms
0,3685.8 ms
0,3686.6000000000013 ms
0,3699.05 ms
0,3710.3 ms
0,3718.9500000000007 ms
0,3733.4500000000007 ms
0,3739.7000000000007 ms
0,3745.6000000000004 ms
0,3750.050000000001 ms
0,3762.25 ms
0,3844.75 ms
0,3854.5 ms
0,3877.25 ms
0,3886.6000000000004 ms
0,3888.6500000000005 ms
0,3897.9000000000005 ms
0,3900.05 ms
0,3930.500000000001 ms
0,3977.7 ms
0,3977.8 ms
0,3980.25 ms
0,3989.1499999999996 ms
0,3997.1499999999996 ms
1,1.1 ms
1,6.300000000000001 ms
1,13.150000000000002 ms
1,18.250000000000004 ms
1,32.400000000000006 ms
1,48.05000000000001 ms
1,53.0 ms
1,66.65 ms
1,76.0 ms
1,114.30000000000001 ms
1,119.45000000000002 ms
1,133.15 ms
1,135.30000000000004 ms
1,144.54999999999998 ms
1,144.70000000000002 ms
1,148.20000000000002 ms
1,172.70000000000002 ms
1,204.65 ms
1,228.25000000000003 ms
1,244.30000000000004 ms
1,282.15 ms
1,295.4 ms
1,301.1 ms
1,320.70000000000005 ms
1,327.1500000000001 ms
1,334.6500000000001 ms
1,355.6 ms
1,362.45000000000005 ms
1,368.1500000000001 ms
1,372.79999999999995 ms
1,383.95000000000005 ms
1,393.4 ms
1,417.19999999999993 ms
1,417.94999999999993 ms
1,469.65 ms
1,486.4 ms
1,491.4 ms
1,520.15 ms
1,602.0000000000001 ms
1,603.3000000000001 ms
1,635.7500000000001 ms
1,655.85 ms
1,659.4999999999999 ms
1,661.9499999999999 ms
1,663.2499999999999 ms
1,665.4499999999999 ms
1,680.35 ms
1,704.8000000000001 ms
1,709.7500000000001 ms
1,714.15 ms
1,729.5000000000001 ms
1,757.8500000000003 ms
1,763.9000000000002 ms
1,767.4 ms
1,767.6999999999999 ms
1,810.4999999999999 ms
1,822.1 ms
1,823.8000000000001 ms
1,836.4000000000002 ms
1,848.0000000000001 ms
1,862.2500000000001 ms
1,867.8000000000001 ms
1,870.8000000000001 ms
1,891.3000000000001 ms
1,891.9000000000002 ms
1,892.8500000000003 ms
1,986.9000000000002 ms
1,988.9500000000002 ms
1,1015.6500000000002 ms
1,1018.5500000000001 ms
1,1081.1999999999998 ms
1,1087.8000000000002 ms
1,1108.1499999999996 ms
1,1113.75 ms
1,1120.3499999999995 ms
1,1156.3999999999996 ms
1,1164.2499999999995 ms
1,1181.2499999999995 ms
1,1189.4999999999995 ms
1,1202.8999999999996 ms
1,1205.9999999999995 ms
1,1211.9499999999994 ms
1,1257.5499999999997 ms
1,1262.5999999999995 ms
1,1271.0499999999993 ms
1,1288.7499999999995 ms
1,1297.2499999999995 ms
1,1302.5999999999995 ms
1,1307.0999999999995 ms
1,1329.9999999999995 ms
1,1344.9499999999994 ms
1,1378.6 ms
1,1385.4999999999995 ms
1,1405.15 ms
1,1405.4499999999998 ms
1,1413.6999999999998 ms
1,1436.3999999999996 ms
1,1439.6499999999996 ms
1,1456.1999999999998 ms
1,1488.1999999999998 ms
1,1491.5 ms
1,1492.25 ms
1,1496.25 ms
1,1505.1999999999998 ms
1,1511.6 ms
1,1545.25 ms
1,1556.5 ms
1,1572.15 ms
1,1645.0 ms
1,1654.9499999999998 ms
1,1672.3000000000002 ms
1,1675.1 ms
1,1677.2999999999997 ms
