neuron_id,spike_time
0,3.7500000000999907 ms
0,6.950000000100031 ms
0,10.100000000100076 ms
0,14.500000000100139 ms
0,18.550000000100013 ms
0,26.450000000099564 ms
0,32.85000000009921 ms
0,36.70000000009899 ms
0,40.25000000009879 ms
0,44.000000000098574 ms
0,47.60000000009837 ms
0,51.30000000009816 ms
0,55.15000000009794 ms
0,58.55000000009775 ms
0,63.45000000009747 ms
0,67.95000000009833 ms
0,72.85000000009944 ms
0,76.70000000010032 ms
0,80.6000000001012 ms
0,84.70000000010214 ms
0,88.500000000103 ms
0,91.90000000010377 ms
0,95.5500000001046 ms
0,101.10000000010587 ms
0,105.75000000010692 ms
0,109.80000000010784 ms
0,114.900000000109 ms
0,118.70000000010987 ms
0,126.85000000011172 ms
0,130.8000000001126 ms
0,134.15000000011335 ms
0,142.10000000011516 ms
0,145.90000000011602 ms
0,150.6000000001171 ms
0,156.3000000001184 ms
0,159.95000000011922 ms
0,164.20000000012018 ms
0,170.35000000012158 ms
0,174.20000000012246 ms
0,178.95000000012354 ms
0,182.90000000012444 ms
0,186.7000000001253 ms
0,191.0500000001263 ms
0,197.90000000012785 ms
0,201.35000000012863 ms
0,205.05000000012947 ms
0,209.90000000013058 ms
0,216.30000000013203 ms
0,220.75000000013304 ms
0,228.5000000001348 ms
0,232.4000000001357 ms
0,235.60000000013642 ms
0,239.9500000001374 ms
0,243.55000000013823 ms
0,247.8000000001392 ms
0,255.2500000001409 ms
0,259.8000000001376 ms
0,265.6000000001323 ms
0,269.250000000129 ms
0,272.8500000001257 ms
0,277.20000000012175 ms
0,280.40000000011884 ms
0,286.00000000011374 ms
0,289.8000000001103 ms
0,296.8000000001039 ms
0,301.40000000009974 ms
0,305.6500000000959 ms
0,309.10000000009273 ms
0,313.25000000008896 ms
0,316.7500000000858 ms
0,321.2500000000817 ms
0,325.5500000000778 ms
0,328.8500000000748 ms
0,332.6500000000713 ms
0,336.6000000000677 ms
0,344.05000000006095 ms
0,348.7500000000567 ms
0,352.6500000000531 ms
0,358.90000000004744 ms
0,366.8500000000402 ms
0,373.4500000000342 ms
0,377.3000000000307 ms
0,381.0500000000273 ms
0,385.05000000002366 ms
0,388.90000000002016 ms
0,393.7000000000158 ms
0,397.850000000012 ms
0,402.4000000000079 ms
0,407.750000000003 ms
0,415.39999999999606 ms
0,419.79999999999205 ms
0,424.64999999998764 ms
0,428.649999999984 ms
0,432.44999999998055 ms
0,436.39999999997696 ms
0,441.89999999997195 ms
0,445.74999999996845 ms
0,449.9999999999646 ms
0,457.09999999995813 ms
0,460.69999999995485 ms
0,463.89999999995194 ms
0,467.19999999994894 ms
0,471.549999999945 ms
0,478.149999999939 ms
0,482.04999999993544 ms
0,485.5999999999322 ms
0,489.3499999999288 ms
0,492.8499999999256 ms
0,496.2999999999225 ms
0,501.69999999991757 ms
0,506.8499999999129 ms
0,510.29999999990974 ms
0,515.0999999999054 ms
0,519.0999999999018 ms
0,523.249999999898 ms
0,528.0999999998936 ms
0,532.2999999998898 ms
0,536.0999999998863 ms
0,540.1999999998826 ms
0,545.5499999998777 ms
0,549.0999999998745 ms
0,552.949999999871 ms
0,557.4499999998669 ms
0,561.749999999863 ms
0,567.5499999998577 ms
0,572.0999999998536 ms
0,576.5499999998495 ms
0,579.6499999998467 ms
0,583.8999999998429 ms
0,587.6999999998394 ms
0,592.3499999998352 ms
0,596.899999999831 ms
0,600.8999999998274 ms
0,607.0499999998218 ms
0,612.0999999998172 ms
0,616.2999999998134 ms
0,620.8499999998093 ms
0,624.2999999998061 ms
0,630.4999999998005 ms
0,634.7999999997966 ms
0,640.7499999997912 ms
0,649.3999999997833 ms
0,653.9999999997791 ms
0,657.8999999997756 ms
0,661.6499999997721 ms
0,665.9499999997682 ms
0,669.549999999765 ms
0,673.3999999997615 ms
0,677.9499999997573 ms
0,686.6999999997494 ms
0,690.1999999997462 ms
0,694.1999999997425 ms
0,697.6499999997394 ms
0,701.1499999997362 ms
0,705.0499999997327 ms
0,709.5999999997285 ms
0,713.7999999997247 ms
0,718.4499999997205 ms
0,722.3999999997169 ms
0,727.6499999997121 ms
0,732.149999999708 ms
0,736.1999999997043 ms
0,739.5999999997013 ms
0,743.6999999996975 ms
0,748.4999999996932 ms
0,752.3499999996897 ms
0,755.9499999996864 ms
0,763.7499999996793 ms
0,767.5999999996758 ms
0,772.7999999996711 ms
0,777.4999999996668 ms
0,784.0499999996608 ms
0,788.299999999657 ms
0,792.7499999996529 ms
0,796.6499999996494 ms
0,801.1499999996453 ms
0,808.9999999996381 ms
0,813.0499999996345 ms
0,817.1999999996307 ms
0,821.1499999996271 ms
0,825.1499999996234 ms
0,829.1999999996198 ms
0,835.9499999996136 ms
0,840.2999999996097 ms
0,845.5499999996049 ms
0,850.9499999996 ms
0,855.8499999995955 ms
0,863.7999999995883 ms
0,867.0999999995853 ms
0,870.749999999582 ms
0,876.1499999995771 ms
0,880.4499999995732 ms
0,886.099999999568 ms
0,889.8999999995646 ms
0,895.8999999995591 ms
0,899.349999999556 ms
0,903.8999999995518 ms
0,907.7999999995483 ms
0,911.349999999545 ms
0,916.7999999995401 ms
0,920.7499999995365 ms
0,924.1999999995334 ms
0,928.1499999995298 ms
0,931.7999999995264 ms
0,936.9499999995218 ms
0,940.4499999995186 ms
0,944.449999999515 ms
0,951.4499999995086 ms
0,955.5999999995048 ms
0,959.5499999995012 ms
0,963.2499999994978 ms
0,966.4499999994949 ms
0,970.6999999994911 ms
0,975.8999999994863 ms
0,981.4499999994813 ms
0,988.6999999994747 ms
0,993.0999999994707 ms
0,997.3499999994668 ms
0,1001.3999999994631 ms
0,1005.3999999994595 ms
0,1009.249999999456 ms
0,1013.4999999994521 ms
0,1020.9999999994453 ms
0,1025.8999999994494 ms
0,1029.5999999994629 ms
0,1035.1999999994832 ms
0,1039.4499999994987 ms
0,1043.6999999995141 ms
0,1048.04999999953 ms
0,1052.8499999995474 ms
0,1056.8999999995622 ms
0,1061.249999999578 ms
0,1065.5999999995938 ms
0,1069.799999999609 ms
0,1073.349999999622 ms
0,1077.1499999996358 ms
0,1081.9999999996535 ms
0,1085.8499999996675 ms
0,1092.7499999996926 ms
0,1097.4999999997099 ms
0,1102.6999999997288 ms
0,1106.4999999997426 ms
0,1110.0499999997555 ms
0,1114.599999999772 ms
0,1119.0499999997883 ms
0,1123.5999999998048 ms
0,1127.249999999818 ms
0,1131.599999999834 ms
0,1135.6999999998488 ms
0,1140.8999999998678 ms
0,1144.549999999881 ms
0,1150.3999999999023 ms
0,1155.3999999999205 ms
0,1159.5999999999358 ms
0,1163.199999999949 ms
0,1167.4999999999645 ms
0,1171.0999999999776 ms
0,1174.249999999989 ms
0,1178.050000000003 ms
0,1182.0500000000175 ms
0,1187.8000000000384 ms
