neuron_id,spike_time
0,3.5500000000999914 ms
0,7.450000000100038 ms
0,11.10000000010009 ms
0,14.800000000100143 ms
0,21.300000000099857 ms
0,25.45000000009962 ms
0,29.00000000009942 ms
0,32.75000000009921 ms
0,36.70000000009899 ms
0,40.300000000098784 ms
0,46.30000000009844 ms
0,50.70000000009819 ms
0,55.45000000009792 ms
0,59.800000000097675 ms
0,63.55000000009746 ms
0,69.05000000009858 ms
0,73.60000000009961 ms
0,78.20000000010066 ms
0,83.70000000010191 ms
0,88.500000000103 ms
0,93.05000000010403 ms
0,97.20000000010498 ms
0,101.55000000010597 ms
0,106.60000000010712 ms
0,110.00000000010789 ms
0,113.60000000010871 ms
0,116.55000000010938 ms
0,120.6000000001103 ms
0,125.30000000011137 ms
0,132.2000000001129 ms
0,137.15000000011403 ms
0,141.350000000115 ms
0,144.65000000011574 ms
0,149.85000000011692 ms
0,153.20000000011768 ms
0,157.2500000001186 ms
0,161.6000000001196 ms
0,165.25000000012042 ms
0,169.0500000001213 ms
0,174.70000000012257 ms
0,178.70000000012348 ms
0,183.40000000012455 ms
0,187.00000000012537 ms
0,191.30000000012635 ms
0,194.90000000012716 ms
0,198.600000000128 ms
0,202.20000000012882 ms
0,206.35000000012977 ms
0,210.20000000013064 ms
0,214.0000000001315 ms
0,217.70000000013235 ms
0,222.15000000013336 ms
0,225.95000000013422 ms
0,230.15000000013518 ms
0,234.80000000013624 ms
0,237.90000000013694 ms
0,241.90000000013785 ms
0,245.2500000001386 ms
0,250.20000000013974 ms
0,254.0000000001406 ms
0,258.7500000001385 ms
0,262.3000000001353 ms
0,266.65000000013134 ms
0,271.15000000012725 ms
0,277.30000000012166 ms
0,281.25000000011806 ms
0,284.8500000001148 ms
0,288.85000000011115 ms
0,292.2000000001081 ms
0,296.45000000010424 ms
0,300.4500000001006 ms
0,303.35000000009796 ms
0,306.8500000000948 ms
0,312.8500000000893 ms
0,317.90000000008473 ms
0,323.8500000000793 ms
0,327.8000000000757 ms
0,332.8000000000712 ms
0,337.90000000006654 ms
0,342.0000000000628 ms
0,349.00000000005645 ms
0,352.85000000005294 ms
0,356.6500000000495 ms
0,361.20000000004535 ms
0,366.3000000000407 ms
0,370.8000000000366 ms
0,374.50000000003325 ms
0,379.8500000000284 ms
0,384.1500000000245 ms
0,390.200000000019 ms
0,395.85000000001384 ms
0,400.8500000000093 ms
0,404.0500000000064 ms
0,408.15000000000265 ms
0,411.4999999999996 ms
0,416.3499999999952 ms
0,422.04999999999 ms
0,427.2499999999853 ms
0,431.8499999999811 ms
0,436.39999999997696 ms
0,439.79999999997386 ms
0,443.99999999997004 ms
0,448.84999999996563 ms
0,452.2999999999625 ms
0,455.6999999999594 ms
0,459.39999999995604 ms
0,464.0499999999518 ms
0,469.7999999999466 ms
0,475.2999999999416 ms
0,479.04999999993817 ms
0,485.5999999999322 ms
0,489.9999999999282 ms
0,493.99999999992457 ms
0,500.3499999999188 ms
0,504.5999999999149 ms
0,509.4999999999105 ms
0,513.1499999999072 ms
0,518.3999999999024 ms
0,523.299999999898 ms
0,527.649999999894 ms
0,531.4999999998905 ms
0,535.2499999998871 ms
0,539.6499999998831 ms
0,543.4999999998796 ms
0,546.5999999998768 ms
0,551.1499999998726 ms
0,554.9499999998692 ms
0,558.9499999998656 ms
0,563.0999999998618 ms
0,567.9499999998574 ms
0,571.3499999998543 ms
0,574.999999999851 ms
0,578.9499999998474 ms
0,582.8999999998438 ms
0,587.3999999998397 ms
0,591.0499999998364 ms
0,594.6499999998331 ms
0,597.7499999998303 ms
0,602.8499999998256 ms
0,607.8499999998211 ms
0,612.7999999998166 ms
0,616.7999999998129 ms
0,620.5499999998095 ms
0,623.5999999998068 ms
0,628.0999999998027 ms
0,633.249999999798 ms
0,637.1499999997944 ms
0,640.6999999997912 ms
0,645.8499999997865 ms
0,650.8999999997819 ms
0,654.0499999997791 ms
0,658.0999999997754 ms
0,663.0499999997709 ms
0,666.8999999997674 ms
0,675.6499999997594 ms
0,681.1499999997544 ms
0,684.6499999997512 ms
0,689.5999999997467 ms
0,694.4499999997423 ms
0,698.1999999997389 ms
0,702.499999999735 ms
0,705.799999999732 ms
0,709.8499999997283 ms
0,713.6999999997248 ms
0,718.5999999997204 ms
0,723.6999999997157 ms
0,727.4499999997123 ms
0,734.9999999997054 ms
0,738.5999999997022 ms
0,743.7999999996974 ms
0,747.3499999996942 ms
0,752.6499999996894 ms
0,756.0499999996863 ms
0,761.3999999996814 ms
0,765.5499999996777 ms
0,770.5499999996731 ms
0,774.3499999996696 ms
0,778.349999999666 ms
0,783.2499999996616 ms
0,787.9999999996572 ms
0,792.4999999996531 ms
0,796.5999999996494 ms
0,800.0499999996463 ms
0,803.4999999996431 ms
0,807.5499999996395 ms
0,811.5999999996358 ms
0,816.1499999996316 ms
0,822.8999999996255 ms
0,828.4999999996204 ms
0,832.249999999617 ms
0,835.7999999996138 ms
0,839.0999999996108 ms
0,843.0999999996071 ms
0,848.2999999996024 ms
0,852.9499999995982 ms
0,856.7499999995947 ms
0,860.3999999995914 ms
0,864.9499999995872 ms
0,868.6999999995838 ms
0,872.89999999958 ms
0,877.349999999576 ms
0,881.9999999995717 ms
0,886.9499999995672 ms
0,891.7999999995628 ms
0,897.7499999995574 ms
0,902.6999999995529 ms
0,905.89999999955 ms
0,909.3999999995468 ms
0,913.7499999995429 ms
0,919.7499999995374 ms
0,925.4499999995322 ms
0,931.249999999527 ms
0,935.9499999995227 ms
0,940.2999999995187 ms
0,946.7499999995129 ms
0,950.5999999995094 ms
0,957.549999999503 ms
0,961.6499999994993 ms
0,965.1999999994961 ms
0,969.5999999994921 ms
