neuron_id,spike_time
0,2.6500000000999946 ms
1,2.4000000000999955 ms
1,11.7500000001001 ms
2,2.3500000000999957 ms
3,2.550000000099995 ms
4,3.150000000099993 ms
5,3.400000000099992 ms
6,2.4000000000999955 ms
6,7.750000000100043 ms
7,3.100000000099993 ms
8,5.000000000100004 ms
9,3.2500000000999925 ms
10,3.050000000099993 ms
11,2.6500000000999946 ms
12,3.350000000099992 ms
13,2.7000000000999944 ms
14,2.7500000000999942 ms
14,11.300000000100093 ms
16,3.2500000000999925 ms
17,2.4500000000999953 ms
18,2.9500000000999935 ms
21,2.9500000000999935 ms
22,3.400000000099992 ms
24,2.9000000000999937 ms
30,2.9000000000999937 ms
32,2.800000000099994 ms
34,2.9500000000999935 ms
35,3.5000000000999916 ms
38,3.3000000000999923 ms
42,3.8000000000999905 ms
