neuron_id,spike_time
0,224.8 ms
0,235.25 ms
0,375.9 ms
0,576.25 ms
0,668.6500000000001 ms
0,979.0 ms
0,1033.85 ms
0,1253.1999999999998 ms
0,1260.8999999999996 ms
0,1443.35 ms
0,1636.2999999999997 ms
0,1709.7999999999997 ms
0,1892.65 ms
0,1927.1 ms
0,1952.15 ms
0,2084.65 ms
0,2090.2000000000003 ms
0,2309.2000000000003 ms
0,2325.2000000000003 ms
0,2395.7500000000005 ms
0,2443.0000000000005 ms
0,2661.0500000000006 ms
0,2662.15 ms
0,2761.900000000001 ms
0,2762.950000000001 ms
0,2982.7500000000014 ms
0,3027.100000000001 ms
0,3076.400000000001 ms
0,3209.900000000001 ms
0,3223.400000000001 ms
0,3294.5000000000005 ms
0,3521.5500000000006 ms
0,3708.650000000001 ms
0,3746.850000000001 ms
0,3822.2000000000003 ms
0,3874.350000000001 ms
0,3877.400000000001 ms
0,3897.650000000001 ms
0,3976.8000000000015 ms
0,3978.200000000001 ms
0,4057.3000000000006 ms
0,4148.0 ms
0,4364.5 ms
0,4397.550000000001 ms
0,4442.6 ms
0,4625.950000000003 ms
0,4782.450000000003 ms
0,4927.450000000003 ms
0,4956.450000000003 ms
0,4957.300000000001 ms
1,76.5 ms
1,320.55 ms
1,347.65000000000003 ms
1,609.5999999999999 ms
1,642.7 ms
1,646.9000000000001 ms
1,765.4000000000001 ms
1,970.75 ms
1,989.9000000000001 ms
1,1193.3000000000002 ms
1,1250.7000000000003 ms
1,1331.6000000000004 ms
1,1439.2000000000003 ms
1,1462.4 ms
1,1516.65 ms
1,1591.65 ms
1,1716.65 ms
1,1735.7500000000005 ms
1,1801.0500000000002 ms
1,1931.5 ms
1,2026.8500000000004 ms
1,2106.75 ms
1,2235.75 ms
1,2252.0 ms
1,2291.1499999999996 ms
1,2314.3 ms
1,2324.25 ms
1,2339.1499999999996 ms
1,2404.3 ms
1,2460.05 ms
1,2657.45 ms
1,2813.000000000001 ms
1,2838.4000000000005 ms
1,2928.6000000000004 ms
1,3233.6500000000005 ms
1,3235.3 ms
1,3330.1500000000005 ms
1,3605.000000000001 ms
1,3673.000000000001 ms
1,3746.4000000000005 ms
