neuron_id,spike_time
0,218.3 ms
0,276.40000000000003 ms
0,561.25 ms
0,568.2 ms
0,618.6500000000001 ms
0,666.45 ms
0,719.3 ms
0,828.3500000000001 ms
0,863.6000000000001 ms
0,949.3500000000001 ms
0,981.8000000000002 ms
0,1007.2000000000003 ms
0,1129.1 ms
0,1236.9 ms
0,1290.0500000000002 ms
0,1565.0 ms
0,1714.1000000000004 ms
0,1958.1000000000004 ms
0,2072.15 ms
0,2150.9999999999995 ms
0,2159.1 ms
0,2209.65 ms
0,2361.7499999999995 ms
0,2364.4 ms
0,2398.4 ms
0,2499.9 ms
0,2586.3000000000006 ms
0,2616.100000000001 ms
0,2627.6 ms
0,2751.7999999999997 ms
0,2804.9 ms
0,2811.0500000000006 ms
0,2854.2000000000003 ms
0,2906.2500000000005 ms
0,2975.7500000000005 ms
0,2983.3000000000006 ms
0,3002.5500000000006 ms
0,3062.5000000000005 ms
0,3133.4500000000003 ms
0,3137.350000000001 ms
0,3189.35 ms
0,3198.5000000000005 ms
0,3215.5000000000005 ms
0,3258.8000000000006 ms
0,3261.0500000000006 ms
0,3269.600000000001 ms
0,3287.7000000000003 ms
0,3287.8000000000006 ms
0,3325.8000000000006 ms
0,3332.850000000001 ms
0,3341.850000000001 ms
0,3366.900000000001 ms
0,3411.0000000000005 ms
0,3415.5000000000014 ms
0,3459.8000000000015 ms
0,3464.0500000000006 ms
0,3528.400000000001 ms
0,3675.0500000000015 ms
0,3687.3500000000017 ms
0,3726.200000000001 ms
0,3760.400000000001 ms
0,3774.0000000000005 ms
0,3841.850000000001 ms
0,3846.600000000001 ms
0,3849.2000000000003 ms
0,3851.65 ms
0,3894.400000000001 ms
0,3921.450000000001 ms
0,3929.2500000000014 ms
0,3944.8000000000015 ms
0,3968.8500000000017 ms
0,3995.5000000000014 ms
0,4018.700000000001 ms
0,4049.900000000001 ms
0,4070.400000000001 ms
0,4087.7500000000005 ms
0,4087.9500000000003 ms
0,4121.800000000001 ms
0,4153.200000000001 ms
0,4166.25 ms
0,4167.5 ms
0,4182.25 ms
0,4199.300000000001 ms
0,4210.550000000001 ms
0,4231.6500000000015 ms
0,4276.000000000002 ms
0,4329.050000000001 ms
0,4371.500000000002 ms
0,4433.700000000003 ms
0,4441.1500000000015 ms
0,4482.800000000001 ms
0,4511.050000000001 ms
0,4710.35 ms
0,4715.250000000002 ms
0,4787.000000000002 ms
0,4795.15 ms
0,4817.000000000002 ms
0,4818.050000000001 ms
0,4835.200000000001 ms
0,4858.1 ms
0,4872.35 ms
0,4875.25 ms
0,4880.25 ms
0,4906.049999999999 ms
0,4926.450000000001 ms
0,4940.9 ms
0,4956.049999999999 ms
1,74.25 ms
1,304.5 ms
1,345.65 ms
1,411.94999999999993 ms
1,506.05000000000007 ms
1,605.85 ms
1,640.4 ms
1,739.1 ms
1,744.1 ms
1,840.6 ms
1,852.15 ms
1,902.5000000000001 ms
1,1034.75 ms
1,1048.5 ms
1,1069.0 ms
1,1073.15 ms
1,1082.2000000000003 ms
1,1102.65 ms
1,1187.1 ms
1,1230.9500000000003 ms
1,1364.5 ms
1,1425.9 ms
1,1451.5500000000002 ms
1,1522.25 ms
1,1538.0 ms
1,1610.4500000000003 ms
1,1621.9500000000003 ms
1,1700.7500000000005 ms
1,1836.3000000000002 ms
1,1854.75 ms
1,1917.5500000000002 ms
1,1934.1000000000004 ms
1,2049.65 ms
1,2056.9 ms
1,2106.9 ms
1,2125.6 ms
1,2230.7999999999997 ms
1,2388.2000000000003 ms
1,2439.15 ms
1,2439.649999999999 ms
1,2449.5499999999997 ms
1,2456.4999999999995 ms
1,2466.9999999999995 ms
1,2573.65 ms
1,2662.7999999999997 ms
1,2680.9999999999995 ms
1,2716.9999999999995 ms
1,2724.9499999999994 ms
1,2734.85 ms
1,2745.4499999999994 ms
1,2749.35 ms
1,2780.1999999999994 ms
1,2791.2499999999995 ms
1,2885.9999999999995 ms
1,3059.2999999999997 ms
1,3065.9500000000003 ms
1,3114.7500000000005 ms
1,3177.9999999999995 ms
1,3271.9499999999994 ms
1,3278.6 ms
1,3425.2999999999997 ms
1,3474.4500000000003 ms
1,3500.85 ms
1,3528.9 ms
1,3603.3000000000006 ms
1,3626.0499999999997 ms
1,3680.85 ms
1,3704.7000000000003 ms
1,3740.9500000000003 ms
1,3757.2999999999997 ms
1,3761.9500000000003 ms
1,3785.9 ms
1,3827.0500000000006 ms
1,3854.2000000000003 ms
1,3868.0000000000005 ms
1,3868.5500000000006 ms
1,3894.7500000000005 ms
1,3991.85 ms
1,4036.9500000000003 ms
1,4062.7000000000003 ms
1,4107.65 ms
1,4231.65 ms
1,4232.700000000001 ms
1,4251.1500000000015 ms
1,4292.1 ms
1,4307.4 ms
1,4355.500000000002 ms
1,4396.800000000001 ms
1,4400.6500000000015 ms
1,4431.550000000001 ms
1,4438.050000000001 ms
1,4584.550000000001 ms
1,4763.800000000001 ms
1,4778.300000000001 ms
1,4785.250000000002 ms
1,4843.750000000002 ms
1,4852.15 ms
1,4857.15 ms
1,4866.800000000001 ms
1,4880.15 ms
1,4884.750000000002 ms
1,4951.500000000002 ms
1,4966.15 ms
1,4975.800000000001 ms
2,95.35000000000001 ms
2,404.15000000000003 ms
2,437.25000000000006 ms
2,458.15000000000003 ms
2,689.5999999999999 ms
2,760.0 ms
2,823.05 ms
2,928.0 ms
2,928.25 ms
2,1037.95 ms
2,1187.9000000000003 ms
2,1242.3000000000004 ms
2,1382.5000000000002 ms
2,1399.8 ms
2,1510.8000000000004 ms
2,1539.9000000000003 ms
2,1636.8000000000004 ms
2,1654.8500000000001 ms
2,1717.8500000000001 ms
2,1819.8500000000001 ms
2,1849.5500000000004 ms
2,2028.1000000000001 ms
2,2065.6000000000004 ms
2,2125.3 ms
2,2178.45 ms
2,2186.3 ms
2,2188.8500000000004 ms
2,2195.9000000000005 ms
2,2449.05 ms
2,2551.4500000000007 ms
2,2665.550000000001 ms
2,2671.25 ms
2,2673.7000000000007 ms
2,2764.2000000000007 ms
2,2764.6000000000004 ms
2,2822.8500000000004 ms
2,2897.4000000000005 ms
2,2979.1000000000004 ms
2,2992.05 ms
2,3017.6500000000005 ms
2,3046.95 ms
2,3127.000000000001 ms
2,3152.4000000000005 ms
2,3255.1000000000004 ms
2,3260.8 ms
2,3329.3 ms
2,3342.3500000000004 ms
2,3344.9500000000007 ms
2,3359.75 ms
2,3408.25 ms
2,3417.800000000001 ms
2,3568.3500000000004 ms
2,3687.3500000000004 ms
2,3728.000000000001 ms
2,3752.8500000000013 ms
2,3760.9500000000007 ms
2,3783.1000000000004 ms
2,3825.6000000000004 ms
2,3830.9500000000007 ms
2,3881.7000000000007 ms
2,3887.2000000000007 ms
2,3942.9000000000005 ms
2,4000.7000000000007 ms
2,4035.8500000000004 ms
2,4036.050000000001 ms
2,4051.25 ms
2,4171.85 ms
2,4183.75 ms
2,4363.0 ms
2,4364.950000000001 ms
2,4394.5 ms
2,4414.85 ms
2,4421.300000000001 ms
