neuron_id,spike_time
0,5.5 ms
0,24.45 ms
0,36.05 ms
0,37.2 ms
0,40.849999999999994 ms
0,42.849999999999994 ms
0,43.0 ms
0,48.75 ms
0,52.75 ms
0,54.64999999999999 ms
0,68.6 ms
0,70.0 ms
0,86.85 ms
0,91.75 ms
0,93.30000000000001 ms
0,102.14999999999998 ms
0,105.6 ms
0,115.15 ms
0,122.79999999999998 ms
0,128.35 ms
0,129.6 ms
0,161.79999999999998 ms
0,162.49999999999997 ms
0,172.44999999999996 ms
0,185.45000000000002 ms
0,193.6 ms
0,194.44999999999996 ms
0,205.99999999999997 ms
0,220.9 ms
0,234.4 ms
0,242.95000000000002 ms
0,259.20000000000005 ms
0,269.6500000000001 ms
0,281.79999999999995 ms
0,297.85 ms
0,312.95000000000005 ms
0,319.35 ms
0,339.0 ms
0,345.9 ms
0,352.25 ms
0,371.25 ms
0,379.6 ms
0,386.45000000000005 ms
0,393.75 ms
0,403.60000000000014 ms
0,407.20000000000005 ms
0,451.60000000000014 ms
0,468.0500000000002 ms
0,477.7500000000001 ms
0,490.6500000000001 ms
0,495.4000000000001 ms
0,496.5000000000001 ms
0,500.9000000000001 ms
0,528.2 ms
0,536.4000000000001 ms
0,548.1500000000001 ms
0,551.8500000000001 ms
0,556.2500000000002 ms
0,569.0000000000002 ms
0,573.1500000000001 ms
0,598.75 ms
0,605.5 ms
0,609.8000000000002 ms
0,609.9000000000001 ms
0,614.1500000000001 ms
0,624.9000000000001 ms
0,655.25 ms
0,658.7000000000003 ms
0,691.9500000000003 ms
0,692.3000000000002 ms
0,706.8500000000001 ms
0,713.5000000000002 ms
0,724.2 ms
0,724.9000000000003 ms
0,750.9000000000003 ms
0,753.4000000000003 ms
0,774.5500000000002 ms
0,775.7500000000002 ms
0,788.8500000000001 ms
0,789.8000000000004 ms
0,800.5000000000002 ms
0,810.0500000000004 ms
0,833.0500000000004 ms
0,834.4000000000003 ms
0,838.4000000000003 ms
0,848.1500000000003 ms
0,854.8000000000004 ms
0,855.5000000000002 ms
0,868.0000000000002 ms
0,868.5000000000002 ms
0,874.6500000000003 ms
0,896.4500000000003 ms
0,901.6500000000003 ms
0,909.5500000000004 ms
0,944.3000000000004 ms
0,955.0000000000002 ms
0,956.2500000000002 ms
0,967.5000000000002 ms
0,973.5000000000002 ms
0,981.4500000000005 ms
0,988.3500000000004 ms
0,1003.5000000000005 ms
0,1013.7500000000005 ms
0,1038.9500000000003 ms
0,1064.6000000000004 ms
0,1108.7000000000003 ms
0,1120.9 ms
0,1130.5000000000005 ms
0,1143.7500000000005 ms
0,1147.9500000000003 ms
0,1155.4 ms
0,1175.2000000000003 ms
0,1185.1000000000004 ms
0,1185.5500000000002 ms
0,1193.4000000000005 ms
0,1196.1500000000005 ms
0,1211.0 ms
0,1213.0 ms
0,1214.0 ms
0,1219.3500000000004 ms
0,1234.9 ms
0,1241.7000000000003 ms
0,1245.6 ms
0,1246.5500000000002 ms
0,1259.6000000000004 ms
0,1265.3000000000002 ms
0,1267.8500000000004 ms
0,1287.3500000000004 ms
0,1294.1999999999998 ms
0,1305.15 ms
0,1323.8000000000002 ms
0,1352.2000000000003 ms
0,1372.8500000000004 ms
0,1374.5500000000002 ms
0,1390.8000000000002 ms
0,1405.9000000000005 ms
0,1408.2000000000003 ms
0,1442.4 ms
0,1473.1000000000004 ms
0,1497.1500000000005 ms
0,1499.0500000000002 ms
0,1502.0000000000005 ms
0,1523.2500000000005 ms
0,1530.2500000000005 ms
0,1537.2000000000003 ms
0,1537.5500000000006 ms
0,1539.0500000000006 ms
0,1547.2000000000003 ms
0,1550.9500000000003 ms
0,1563.2500000000005 ms
0,1567.0000000000005 ms
0,1569.1500000000005 ms
0,1574.5500000000006 ms
0,1589.6000000000008 ms
0,1594.4500000000003 ms
0,1595.3500000000008 ms
0,1607.9500000000003 ms
0,1616.2000000000003 ms
0,1635.6000000000008 ms
0,1646.2000000000003 ms
0,1654.9000000000005 ms
0,1660.1500000000005 ms
0,1673.2000000000007 ms
0,1704.6000000000004 ms
0,1713.6500000000005 ms
0,1726.0000000000005 ms
0,1737.9000000000005 ms
0,1738.2000000000007 ms
0,1741.2000000000007 ms
0,1743.3000000000002 ms
0,1744.9500000000007 ms
0,1747.7000000000007 ms
0,1756.2500000000005 ms
0,1756.4500000000003 ms
0,1769.3500000000008 ms
0,1776.2500000000005 ms
0,1778.7000000000007 ms
0,1781.9500000000007 ms
0,1782.500000000001 ms
0,1824.9500000000007 ms
0,1826.750000000001 ms
0,1855.8000000000006 ms
0,1857.0000000000005 ms
0,1896.3500000000008 ms
0,1908.5500000000006 ms
0,1931.4500000000007 ms
0,1932.9500000000007 ms
0,1943.5500000000006 ms
0,1951.7000000000007 ms
0,1952.000000000001 ms
0,1952.4500000000007 ms
0,1956.2000000000007 ms
0,1965.500000000001 ms
0,1970.4000000000005 ms
0,1972.3500000000008 ms
0,1985.9500000000007 ms
0,1986.500000000001 ms
0,1995.6500000000005 ms
0,2003.4000000000005 ms
0,2011.6500000000005 ms
0,2017.3500000000008 ms
0,2030.250000000001 ms
0,2034.1000000000008 ms
0,2053.400000000001 ms
0,2057.0000000000005 ms
0,2083.7500000000014 ms
0,2091.950000000001 ms
0,2097.850000000001 ms
0,2117.3000000000006 ms
0,2117.8000000000006 ms
0,2122.65 ms
0,2135.8000000000006 ms
0,2138.450000000001 ms
0,2161.350000000001 ms
0,2169.2500000000014 ms
0,2174.600000000001 ms
0,2182.850000000001 ms
0,2186.600000000001 ms
0,2201.7500000000014 ms
0,2212.8000000000015 ms
0,2218.950000000001 ms
0,2226.5000000000014 ms
0,2252.700000000001 ms
0,2279.450000000001 ms
0,2283.3500000000017 ms
0,2284.900000000002 ms
0,2285.700000000002 ms
