neuron_id,spike_time
0,2.250000000099996 ms
0,6.100000000100019 ms
0,11.250000000100092 ms
0,15.050000000100146 ms
0,19.85000000009994 ms
0,24.75000000009966 ms
0,29.600000000099385 ms
0,33.55000000009917 ms
0,37.50000000009894 ms
0,42.35000000009867 ms
0,45.65000000009848 ms
0,49.800000000098244 ms
0,55.15000000009794 ms
0,59.3500000000977 ms
0,64.40000000009752 ms
0,71.30000000009909 ms
0,76.30000000010023 ms
0,79.95000000010106 ms
0,83.60000000010189 ms
0,87.90000000010286 ms
0,92.20000000010384 ms
0,95.90000000010468 ms
0,101.35000000010592 ms
0,105.10000000010677 ms
0,109.40000000010775 ms
0,114.50000000010891 ms
0,118.80000000010989 ms
0,122.05000000011063 ms
0,127.00000000011175 ms
0,131.15000000011267 ms
0,134.65000000011347 ms
0,137.75000000011417 ms
0,142.00000000011514 ms
0,149.65000000011688 ms
0,154.1500000001179 ms
0,158.950000000119 ms
0,162.15000000011972 ms
0,165.90000000012057 ms
0,170.30000000012157 ms
0,174.60000000012255 ms
0,178.65000000012347 ms
0,183.05000000012447 ms
0,186.60000000012528 ms
0,190.95000000012627 ms
0,194.80000000012714 ms
0,198.85000000012806 ms
0,202.65000000012893 ms
0,207.55000000013004 ms
0,211.50000000013094 ms
0,216.10000000013198 ms
0,221.4500000001332 ms
0,225.60000000013414 ms
0,231.00000000013537 ms
0,234.55000000013618 ms
0,240.95000000013763 ms
0,246.5000000001389 ms
0,250.75000000013986 ms
0,255.00000000014083 ms
0,259.2000000001381 ms
0,263.10000000013457 ms
0,267.050000000131 ms
0,272.3000000001262 ms
0,275.850000000123 ms
0,280.60000000011865 ms
0,284.00000000011556 ms
0,288.0000000001119 ms
0,291.80000000010847 ms
0,295.8500000001048 ms
0,299.65000000010133 ms
0,303.0000000000983 ms
0,306.3000000000953 ms
0,310.8000000000912 ms
0,314.45000000008787 ms
0,319.30000000008346 ms
0,325.25000000007805 ms
0,329.00000000007464 ms
0,333.1000000000709 ms
0,336.9500000000674 ms
0,341.75000000006304 ms
0,346.200000000059 ms
0,349.8000000000557 ms
0,353.40000000005244 ms
0,357.0500000000491 ms
0,361.2500000000453 ms
0,365.05000000004185 ms
0,370.1500000000372 ms
0,376.1000000000318 ms
0,381.75000000002666 ms
0,385.95000000002284 ms
0,390.150000000019 ms
0,394.2500000000153 ms
0,400.4000000000097 ms
0,404.10000000000633 ms
0,408.70000000000215 ms
0,413.5999999999977 ms
0,419.59999999999224 ms
0,423.2499999999889 ms
0,427.3499999999852 ms
0,432.1499999999808 ms
0,435.64999999997764 ms
0,438.9999999999746 ms
0,443.44999999997054 ms
0,446.8999999999674 ms
0,450.9999999999637 ms
0,456.19999999995895 ms
0,461.89999999995376 ms
0,467.64999999994853 ms
0,471.49999999994503 ms
0,476.0499999999409 ms
0,479.4499999999378 ms
0,483.5499999999341 ms
0,487.3499999999306 ms
0,490.7999999999275 ms
0,494.44999999992416 ms
0,498.54999999992043 ms
0,503.69999999991575 ms
0,509.4999999999105 ms
0,512.9499999999074 ms
0,517.4499999999033 ms
0,525.1499999998963 ms
0,529.3499999998925 ms
0,534.3499999998879 ms
0,538.9499999998837 ms
0,543.2999999998798 ms
0,548.8999999998747 ms
0,553.4499999998706 ms
0,556.7999999998675 ms
0,561.0499999998636 ms
0,568.5999999998568 ms
0,572.3499999998534 ms
0,577.2999999998489 ms
0,580.5499999998459 ms
0,584.849999999842 ms
0,590.349999999837 ms
0,595.3499999998324 ms
0,599.099999999829 ms
0,603.0499999998254 ms
0,606.6499999998222 ms
0,610.0499999998191 ms
0,614.4499999998151 ms
0,618.0499999998118 ms
0,621.8499999998083 ms
0,626.3499999998043 ms
0,637.7499999997939 ms
0,642.3499999997897 ms
0,646.2999999997861 ms
0,649.4499999997832 ms
0,653.5499999997795 ms
0,657.449999999776 ms
0,661.9999999997718 ms
0,666.0999999997681 ms
0,669.8999999997646 ms
0,673.2499999997616 ms
0,676.4999999997586 ms
0,680.3999999997551 ms
0,684.1499999997517 ms
0,687.8999999997483 ms
0,692.549999999744 ms
0,697.1499999997399 ms
0,705.4499999997323 ms
0,710.4999999997277 ms
0,715.0499999997236 ms
0,719.4499999997196 ms
0,723.5499999997159 ms
0,728.4499999997114 ms
0,732.4999999997077 ms
0,735.6499999997048 ms
0,739.3999999997014 ms
0,743.5499999996977 ms
0,747.7999999996938 ms
0,754.0499999996881 ms
0,762.4499999996805 ms
0,767.349999999676 ms
0,771.1999999996725 ms
0,775.6499999996685 ms
0,779.0499999996654 ms
0,782.799999999662 ms
0,788.299999999657 ms
0,791.7499999996538 ms
0,796.4999999996495 ms
0,800.9999999996454 ms
0,805.1499999996416 ms
0,812.7999999996347 ms
0,819.4499999996286 ms
0,823.1499999996253 ms
0,826.9499999996218 ms
0,831.099999999618 ms
0,834.9999999996145 ms
0,838.0999999996117 ms
0,841.5499999996085 ms
0,844.8499999996055 ms
0,848.699999999602 ms
0,852.2999999995988 ms
0,855.9499999995954 ms
0,861.2499999995906 ms
0,864.7499999995874 ms
0,868.7499999995838 ms
0,872.0499999995808 ms
0,875.9999999995772 ms
0,879.7499999995738 ms
0,883.7499999995702 ms
0,887.4499999995668 ms
0,892.4999999995622 ms
0,896.4499999995586 ms
0,899.9999999995554 ms
0,903.649999999552 ms
0,907.5499999995485 ms
0,913.549999999543 ms
0,918.5499999995385 ms
0,922.5499999995349 ms
0,926.749999999531 ms
0,930.6499999995275 ms
0,933.9999999995244 ms
0,938.4499999995204 ms
0,943.0499999995162 ms
0,946.599999999513 ms
0,950.999999999509 ms
