neuron_id,spike_time
0,1587.7500000014934 ms
0,1936.2500000027612 ms
0,2075.7500000032687 ms
0,2240.3500000038675 ms
0,2304.800000004102 ms
0,2409.500000004483 ms
0,2475.3500000047225 ms
0,2549.5500000049924 ms
0,2560.9000000050337 ms
0,2635.4000000053047 ms
0,2773.4000000058068 ms
0,2794.300000005883 ms
0,2870.0500000061584 ms
0,2887.850000006223 ms
0,2905.450000006287 ms
0,2953.1500000064607 ms
0,2964.9500000065036 ms
0,2995.300000006614 ms
0,3012.100000006675 ms
0,3024.8500000067215 ms
0,3040.95000000678 ms
0,3067.7000000068774 ms
0,3089.300000006956 ms
0,3141.000000007144 ms
0,3149.9500000071766 ms
0,3197.850000007351 ms
0,3254.3000000075563 ms
0,3281.150000007654 ms
0,3308.700000007754 ms
0,3313.7500000077725 ms
0,3357.250000007931 ms
0,3366.400000007964 ms
0,3373.50000000799 ms
0,3394.5000000080663 ms
0,3410.7000000081252 ms
0,3421.2500000081636 ms
0,3431.4500000082007 ms
0,3439.3500000082295 ms
0,3447.80000000826 ms
0,3461.200000008309 ms
0,3469.150000008338 ms
0,3478.4000000083715 ms
0,3492.2000000084217 ms
0,3504.350000008466 ms
0,3518.050000008516 ms
0,3538.40000000859 ms
0,3577.9500000087337 ms
0,3582.9000000087517 ms
0,3628.2000000089165 ms
0,3671.800000009075 ms
0,3699.3500000091753 ms
0,3721.750000009257 ms
0,3726.5500000092743 ms
0,3740.450000009325 ms
0,3750.7500000093623 ms
0,3755.1500000093783 ms
0,3768.750000009428 ms
0,3785.000000009487 ms
0,3797.150000009531 ms
0,3811.900000009585 ms
0,3819.700000009613 ms
0,3829.3500000096483 ms
0,3849.5000000097216 ms
0,3863.5000000097725 ms
0,3876.50000000982 ms
0,3883.0500000098436 ms
0,3888.2000000098624 ms
0,3892.8500000098793 ms
0,3919.8500000099775 ms
0,3966.400000010147 ms
0,3991.5500000102384 ms
0,4006.300000010292 ms
0,4023.350000010354 ms
0,4051.700000010457 ms
0,4058.1500000104807 ms
0,4070.400000010525 ms
0,4099.650000010565 ms
0,4108.100000010442 ms
0,4124.900000010198 ms
0,4130.150000010121 ms
0,4153.550000009781 ms
0,4158.350000009711 ms
0,4178.700000009415 ms
0,4208.700000008978 ms
0,4215.850000008874 ms
0,4223.6000000087615 ms
0,4239.650000008528 ms
0,4247.000000008421 ms
0,4255.500000008297 ms
0,4279.600000007947 ms
0,4302.600000007612 ms
0,4315.400000007426 ms
0,4331.800000007187 ms
0,4347.5000000069585 ms
0,4356.150000006833 ms
0,4364.250000006715 ms
0,4371.000000006617 ms
