neuron_id,spike_time
0,26.55 ms
0,39.7 ms
0,40.85000000000001 ms
0,44.39999999999999 ms
0,82.1 ms
0,102.75 ms
0,111.1 ms
0,116.65 ms
0,134.95 ms
0,146.84999999999997 ms
0,148.25 ms
0,174.05 ms
0,178.90000000000003 ms
0,209.8 ms
0,216.8 ms
0,236.40000000000003 ms
0,237.8 ms
0,238.05 ms
0,249.35000000000002 ms
0,267.95000000000005 ms
0,274.75 ms
0,299.6500000000001 ms
0,367.20000000000005 ms
0,405.35 ms
0,408.85 ms
0,417.70000000000005 ms
0,422.85 ms
0,461.25 ms
0,468.04999999999995 ms
0,468.95000000000005 ms
0,487.25 ms
0,503.04999999999995 ms
0,503.35 ms
0,533.4500000000002 ms
0,534.85 ms
0,535.6 ms
0,541.9 ms
0,548.15 ms
0,549.9 ms
0,553.9 ms
0,558.6999999999999 ms
0,583.4 ms
0,590.15 ms
0,612.1999999999999 ms
0,623.5999999999998 ms
0,632.6499999999997 ms
0,632.8499999999998 ms
0,635.9999999999999 ms
0,642.3999999999997 ms
0,646.65 ms
0,650.6999999999999 ms
0,676.4 ms
0,680.85 ms
0,710.8499999999998 ms
0,738.0499999999998 ms
0,739.0500000000001 ms
0,765.6999999999999 ms
0,767.7499999999999 ms
0,777.7999999999998 ms
0,779.9 ms
0,783.9999999999999 ms
0,791.9499999999999 ms
0,793.1999999999999 ms
0,795.9 ms
0,807.1 ms
0,807.6 ms
0,833.6 ms
0,852.0500000000001 ms
0,871.1 ms
0,880.2499999999999 ms
0,911.1999999999999 ms
0,937.8000000000001 ms
0,937.9499999999999 ms
0,992.7499999999999 ms
0,1014.6 ms
0,1044.25 ms
0,1054.4 ms
0,1055.25 ms
0,1067.9499999999998 ms
0,1080.5500000000002 ms
0,1089.3000000000002 ms
0,1092.8999999999996 ms
0,1096.0 ms
0,1100.6499999999996 ms
0,1102.0500000000002 ms
0,1112.35 ms
0,1121.9 ms
0,1126.4499999999998 ms
0,1133.2999999999997 ms
0,1135.6999999999998 ms
0,1139.4499999999998 ms
0,1160.85 ms
0,1162.6999999999998 ms
0,1165.1999999999998 ms
0,1167.1 ms
0,1173.4 ms
0,1190.65 ms
0,1191.9999999999995 ms
0,1192.4999999999995 ms
0,1215.9499999999998 ms
0,1217.0 ms
0,1235.8499999999995 ms
0,1244.0499999999997 ms
0,1278.85 ms
0,1288.1499999999996 ms
0,1295.6499999999996 ms
0,1312.0499999999997 ms
0,1338.2999999999997 ms
0,1345.0499999999997 ms
0,1353.7999999999997 ms
0,1360.4999999999995 ms
0,1372.9 ms
0,1376.9499999999998 ms
0,1385.0499999999997 ms
0,1397.1999999999998 ms
0,1407.25 ms
0,1418.6499999999996 ms
0,1426.9499999999998 ms
0,1432.1999999999998 ms
0,1446.1 ms
0,1446.35 ms
0,1447.0499999999997 ms
0,1447.7999999999997 ms
0,1453.9500000000003 ms
0,1466.6 ms
0,1470.6 ms
0,1482.85 ms
0,1502.7500000000005 ms
0,1506.15 ms
0,1511.8500000000004 ms
0,1521.3000000000002 ms
0,1524.2000000000007 ms
0,1530.6000000000004 ms
0,1580.3500000000004 ms
0,1585.5500000000006 ms
0,1592.7000000000007 ms
0,1603.250000000001 ms
0,1603.4500000000007 ms
0,1613.7000000000007 ms
0,1627.250000000001 ms
0,1628.000000000001 ms
0,1631.1500000000005 ms
0,1660.2000000000007 ms
0,1680.3000000000006 ms
0,1684.4000000000005 ms
0,1702.7500000000005 ms
0,1746.8000000000006 ms
0,1756.65 ms
0,1766.9500000000003 ms
0,1769.15 ms
0,1780.0500000000006 ms
0,1792.5000000000005 ms
0,1824.9000000000005 ms
0,1830.3000000000006 ms
0,1844.9000000000005 ms
0,1853.6500000000005 ms
0,1860.0500000000006 ms
0,1860.6000000000008 ms
0,1861.0500000000006 ms
0,1875.7000000000007 ms
0,1886.250000000001 ms
0,1911.3000000000006 ms
0,1921.2500000000005 ms
0,1937.2500000000005 ms
0,1953.2000000000007 ms
0,1967.250000000001 ms
0,2021.9500000000007 ms
0,2022.3500000000008 ms
0,2038.5500000000006 ms
0,2041.5500000000006 ms
0,2050.300000000001 ms
0,2053.550000000001 ms
0,2054.2000000000007 ms
0,2058.000000000002 ms
0,2074.250000000002 ms
0,2135.500000000002 ms
0,2145.3500000000013 ms
0,2154.9000000000015 ms
0,2179.250000000002 ms
0,2195.250000000002 ms
0,2200.4000000000015 ms
0,2222.250000000002 ms
0,2222.9000000000015 ms
0,2226.3500000000013 ms
0,2232.500000000001 ms
0,2241.050000000002 ms
0,2249.800000000002 ms
0,2253.2000000000016 ms
0,2269.550000000002 ms
0,2301.1500000000015 ms
0,2303.1500000000015 ms
0,2322.9000000000015 ms
0,2326.9000000000015 ms
0,2333.3500000000013 ms
0,2337.8500000000013 ms
0,2345.250000000001 ms
0,2353.3500000000013 ms
0,2354.750000000001 ms
0,2358.500000000001 ms
0,2358.750000000001 ms
0,2396.4000000000015 ms
0,2423.750000000002 ms
0,2453.250000000002 ms
0,2469.750000000002 ms
0,2486.550000000001 ms
0,2505.500000000002 ms
0,2505.9500000000007 ms
0,2513.4000000000015 ms
0,2518.1000000000004 ms
0,2539.9000000000015 ms
0,2541.1500000000015 ms
0,2541.4000000000015 ms
0,2542.9500000000007 ms
0,2561.500000000002 ms
0,2576.1000000000013 ms
0,2581.300000000001 ms
0,2587.250000000001 ms
0,2588.7000000000007 ms
0,2611.8500000000004 ms
0,2612.300000000001 ms
0,2615.0 ms
0,2618.2000000000007 ms
0,2627.3999999999996 ms
0,2629.8 ms
0,2630.1000000000004 ms
0,2640.4500000000007 ms
0,2670.8500000000004 ms
0,2675.4500000000007 ms
0,2696.55 ms
0,2709.25 ms
0,2715.8500000000004 ms
0,2723.2 ms
0,2730.75 ms
0,2740.05 ms
0,2753.3500000000004 ms
0,2755.4000000000005 ms
0,2756.05 ms
0,2773.1500000000005 ms
0,2777.8500000000004 ms
0,2784.05 ms
0,2795.75 ms
0,2808.3 ms
0,2817.6500000000005 ms
0,2829.0 ms
0,2832.7 ms
0,2844.1499999999996 ms
0,2895.95 ms
0,2919.95 ms
0,2923.2 ms
0,2938.8499999999995 ms
0,2946.95 ms
0,2962.95 ms
0,3008.8 ms
0,3012.0999999999995 ms
0,3015.45 ms
0,3023.8499999999995 ms
0,3046.4000000000005 ms
0,3054.8 ms
0,3057.8500000000004 ms
0,3059.1500000000005 ms
0,3060.7000000000007 ms
0,3064.000000000001 ms
0,3068.1000000000013 ms
0,3073.2000000000007 ms
0,3075.1500000000005 ms
0,3076.4500000000007 ms
0,3087.800000000001 ms
0,3115.1000000000004 ms
0,3139.000000000001 ms
0,3144.2000000000007 ms
0,3158.4000000000005 ms
0,3162.2000000000007 ms
0,3163.250000000001 ms
0,3178.000000000001 ms
0,3183.750000000001 ms
0,3206.7000000000007 ms
0,3248.750000000001 ms
0,3251.2000000000007 ms
0,3296.750000000001 ms
0,3298.8500000000013 ms
0,3299.55 ms
0,3304.2000000000007 ms
0,3312.550000000001 ms
0,3318.9000000000005 ms
0,3324.3500000000004 ms
0,3326.9000000000005 ms
0,3355.4000000000005 ms
0,3369.6500000000005 ms
0,3383.8500000000004 ms
0,3385.05 ms
0,3389.1500000000005 ms
0,3397.0 ms
0,3424.8999999999996 ms
0,3456.1000000000004 ms
