neuron_id,spike_time
0,7.1000000000000005 ms
0,23.500000000000004 ms
0,43.80000000000001 ms
0,54.25 ms
0,60.25 ms
0,67.75 ms
0,80.05000000000001 ms
0,83.6 ms
0,116.79999999999998 ms
0,122.9 ms
0,127.94999999999999 ms
0,156.84999999999997 ms
0,170.15000000000003 ms
0,173.3 ms
0,179.90000000000003 ms
0,184.90000000000003 ms
0,193.45 ms
0,200.10000000000002 ms
0,208.70000000000005 ms
0,216.25 ms
0,217.90000000000003 ms
0,221.85000000000002 ms
0,230.20000000000005 ms
0,232.89999999999998 ms
0,247.60000000000002 ms
0,252.89999999999998 ms
0,257.5 ms
0,265.15 ms
0,287.04999999999995 ms
0,330.75 ms
0,333.25 ms
0,340.25 ms
0,347.19999999999993 ms
0,359.9 ms
0,364.9999999999999 ms
0,365.9999999999999 ms
0,373.7499999999999 ms
0,378.7499999999999 ms
0,379.6 ms
0,414.85 ms
0,417.6 ms
0,431.4999999999999 ms
0,439.54999999999995 ms
0,441.65 ms
0,443.4 ms
0,455.15 ms
0,473.19999999999993 ms
0,481.5 ms
0,488.85 ms
0,495.05000000000007 ms
0,501.94999999999993 ms
0,520.05 ms
0,543.8 ms
0,546.75 ms
0,562.9000000000001 ms
0,596.9000000000001 ms
0,603.0 ms
0,610.5 ms
0,616.25 ms
0,621.5999999999999 ms
0,631.8499999999999 ms
0,636.5 ms
0,676.7 ms
0,682.05 ms
0,701.95 ms
0,707.5 ms
0,712.7 ms
0,716.75 ms
0,750.0 ms
0,762.75 ms
0,780.05 ms
0,808.5 ms
0,810.7 ms
0,815.8500000000001 ms
0,859.5 ms
0,872.3499999999999 ms
0,878.2 ms
0,881.6000000000001 ms
0,899.1499999999999 ms
0,899.6499999999999 ms
0,906.7 ms
0,921.7 ms
0,925.8999999999999 ms
0,933.5 ms
0,938.3499999999999 ms
0,952.9000000000001 ms
0,969.5999999999999 ms
0,998.5 ms
0,1012.05 ms
0,1014.5 ms
0,1014.8 ms
0,1018.8999999999999 ms
0,1038.7499999999998 ms
0,1054.45 ms
0,1057.4000000000003 ms
0,1066.3999999999999 ms
0,1090.1500000000003 ms
0,1102.6499999999999 ms
0,1105.2 ms
0,1107.9999999999998 ms
0,1118.1499999999999 ms
0,1126.9999999999998 ms
0,1137.2 ms
0,1151.2499999999998 ms
0,1154.5999999999997 ms
0,1185.6000000000001 ms
0,1187.8999999999999 ms
0,1198.9999999999998 ms
0,1240.5999999999997 ms
0,1262.8499999999997 ms
0,1264.4999999999998 ms
0,1276.5499999999995 ms
0,1305.8499999999997 ms
0,1307.1499999999994 ms
0,1307.3999999999999 ms
0,1309.8499999999997 ms
0,1324.55 ms
0,1325.0999999999997 ms
0,1336.9999999999998 ms
0,1370.9999999999998 ms
0,1386.3499999999997 ms
0,1398.0999999999997 ms
0,1402.4499999999996 ms
0,1421.7999999999995 ms
0,1424.4499999999996 ms
0,1432.1499999999999 ms
0,1434.4999999999998 ms
0,1458.1499999999999 ms
0,1486.4499999999996 ms
0,1508.2999999999995 ms
0,1515.7999999999995 ms
0,1526.0999999999992 ms
0,1526.7499999999993 ms
0,1534.3999999999994 ms
0,1544.3999999999999 ms
0,1545.8999999999994 ms
0,1552.3999999999999 ms
0,1558.3499999999997 ms
0,1567.7499999999998 ms
0,1584.1499999999999 ms
0,1590.6000000000001 ms
0,1600.95 ms
0,1602.3 ms
0,1618.5499999999995 ms
0,1624.1999999999996 ms
0,1637.3999999999999 ms
0,1657.4499999999996 ms
0,1680.5999999999997 ms
0,1699.8500000000001 ms
0,1705.2 ms
0,1717.6499999999999 ms
0,1719.8500000000001 ms
0,1722.7 ms
0,1751.1999999999996 ms
0,1756.2499999999998 ms
0,1759.95 ms
0,1767.9499999999996 ms
0,1777.7 ms
0,1789.6000000000001 ms
0,1791.5999999999997 ms
0,1801.2499999999998 ms
0,1807.7500000000002 ms
0,1816.6000000000001 ms
0,1828.2500000000002 ms
0,1853.9999999999998 ms
0,1854.5999999999997 ms
0,1866.1499999999999 ms
0,1866.7499999999998 ms
0,1900.0999999999997 ms
0,1901.7499999999998 ms
0,1919.0499999999995 ms
0,1925.2499999999998 ms
0,1954.7 ms
0,1960.1999999999996 ms
0,1960.7499999999998 ms
0,1963.9999999999998 ms
0,1964.4999999999998 ms
0,1971.6499999999999 ms
0,1976.55 ms
0,1979.3499999999997 ms
0,1989.3999999999999 ms
0,1997.55 ms
0,2000.3 ms
0,2021.0999999999997 ms
0,2055.3500000000004 ms
0,2063.3500000000004 ms
0,2068.8500000000004 ms
0,2069.8500000000004 ms
0,2072.45 ms
0,2077.3999999999996 ms
0,2079.2999999999993 ms
0,2084.7 ms
0,2104.8499999999995 ms
0,2125.1500000000005 ms
0,2126.75 ms
0,2143.7 ms
0,2151.8999999999996 ms
0,2156.5 ms
0,2181.5499999999993 ms
0,2192.25 ms
0,2198.5499999999993 ms
0,2241.0499999999993 ms
0,2249.0 ms
0,2259.6499999999996 ms
0,2265.0499999999993 ms
0,2278.7999999999993 ms
0,2287.3500000000004 ms
0,2287.6499999999996 ms
0,2295.8 ms
0,2320.6000000000004 ms
0,2320.7000000000007 ms
0,2323.6000000000004 ms
0,2347.8 ms
0,2378.5 ms
0,2380.5 ms
0,2382.8 ms
0,2387.1500000000005 ms
0,2395.3499999999995 ms
0,2398.3 ms
0,2404.749999999999 ms
0,2405.2 ms
0,2410.2999999999993 ms
0,2432.8999999999996 ms
0,2466.1499999999996 ms
0,2471.2999999999993 ms
0,2488.7999999999993 ms
0,2493.499999999999 ms
0,2509.699999999999 ms
0,2520.8999999999987 ms
0,2523.2999999999984 ms
0,2531.449999999999 ms
0,2550.3499999999985 ms
0,2554.7999999999993 ms
0,2557.749999999998 ms
0,2580.749999999998 ms
0,2587.8499999999985 ms
0,2596.499999999998 ms
0,2601.0999999999985 ms
0,2609.499999999998 ms
0,2613.2999999999993 ms
0,2623.5499999999993 ms
0,2656.499999999998 ms
0,2659.499999999998 ms
0,2670.7999999999993 ms
0,2698.3999999999987 ms
0,2726.0499999999984 ms
0,2737.5499999999984 ms
0,2759.449999999999 ms
0,2778.749999999999 ms
0,2788.6499999999987 ms
0,2794.249999999999 ms
0,2804.199999999999 ms
0,2829.2999999999993 ms
0,2836.699999999999 ms
0,2868.0999999999985 ms
0,2876.449999999999 ms
0,2891.1499999999987 ms
0,2892.0499999999984 ms
0,2899.5499999999984 ms
0,2904.749999999999 ms
0,2909.249999999999 ms
0,2932.8999999999987 ms
0,2950.749999999999 ms
0,2951.5999999999985 ms
0,2959.6499999999987 ms
0,2968.6499999999987 ms
0,2981.1499999999987 ms
0,3001.7999999999984 ms
0,3003.8499999999995 ms
0,3015.7999999999984 ms
0,3030.3499999999995 ms
0,3032.8499999999995 ms
0,3047.0999999999995 ms
0,3047.249999999999 ms
0,3060.5999999999995 ms
0,3063.5499999999984 ms
0,3075.5999999999995 ms
0,3098.949999999999 ms
0,3113.7999999999993 ms
0,3114.199999999999 ms
0,3124.0499999999993 ms
0,3141.749999999998 ms
0,3148.499999999998 ms
0,3153.3499999999985 ms
0,3157.449999999999 ms
0,3167.2999999999984 ms
0,3179.3999999999987 ms
0,3194.2999999999984 ms
0,3197.1499999999987 ms
0,3211.3999999999987 ms
0,3217.5499999999984 ms
0,3232.5499999999984 ms
0,3253.449999999998 ms
0,3270.999999999999 ms
0,3273.5499999999984 ms
0,3297.8999999999987 ms
0,3310.5499999999984 ms
0,3317.449999999999 ms
0,3337.449999999999 ms
0,3338.1499999999987 ms
0,3340.749999999999 ms
0,3351.999999999999 ms
0,3370.7999999999984 ms
0,3380.999999999999 ms
0,3384.749999999999 ms
0,3395.499999999999 ms
0,3407.749999999999 ms
