neuron_id,spike_time
0,10.3 ms
1,2.35 ms
2,6.65 ms
3,26.05 ms
4,5.75 ms
5,3.45 ms
6,9.700000000000001 ms
7,4.2 ms
8,40.900000000000006 ms
9,16.6 ms
10,55.45 ms
11,4.9 ms
12,0.2 ms
13,1.9000000000000001 ms
14,1.1500000000000001 ms
15,0.1 ms
16,8.8 ms
17,2.85 ms
18,9.0 ms
19,8.8 ms
20,10.0 ms
21,4.4 ms
22,27.450000000000003 ms
23,0.45 ms
24,28.85 ms
25,12.450000000000001 ms
26,6.050000000000001 ms
27,2.95 ms
28,25.650000000000002 ms
29,20.650000000000002 ms
30,39.7 ms
31,2.6500000000000004 ms
32,2.25 ms
33,29.450000000000003 ms
34,34.75 ms
35,9.55 ms
36,19.700000000000003 ms
37,13.3 ms
38,1.6500000000000001 ms
39,0.45 ms
40,1.05 ms
41,20.400000000000002 ms
42,26.700000000000003 ms
43,14.100000000000001 ms
44,16.25 ms
45,1.75 ms
46,19.150000000000002 ms
47,7.800000000000001 ms
48,1.6 ms
49,1.4000000000000001 ms
50,19.0 ms
51,3.5 ms
52,12.25 ms
53,7.65 ms
54,19.700000000000003 ms
55,17.2 ms
56,1.7000000000000002 ms
57,9.950000000000001 ms
58,12.75 ms
59,14.350000000000001 ms
60,17.6 ms
61,5.4 ms
62,3.9000000000000004 ms
63,26.400000000000002 ms
64,11.450000000000001 ms
65,28.450000000000003 ms
66,16.85 ms
67,22.25 ms
68,2.2 ms
69,5.25 ms
70,21.950000000000003 ms
71,4.2 ms
72,26.75 ms
73,14.600000000000001 ms
74,13.350000000000001 ms
75,0.5 ms
76,13.850000000000001 ms
77,1.4000000000000001 ms
78,0.8500000000000001 ms
79,5.800000000000001 ms
80,12.0 ms
81,1.9500000000000002 ms
82,8.3 ms
83,5.8500000000000005 ms
84,0.15000000000000002 ms
85,20.700000000000003 ms
86,23.6 ms
87,69.65 ms
88,7.050000000000001 ms
89,23.8 ms
90,3.2 ms
91,1.7000000000000002 ms
92,21.85 ms
93,5.65 ms
