MU,ISI,Force Level
MU_1,0.09970703124999858,5
MU_1,0.08457031250000568,5
MU_1,0.08554687499999858,5
MU_1,0.08955078124999716,5
MU_1,0.08457031249999858,5
MU_1,0.07656250000000142,5
MU_1,0.08457031249999858,5
MU_1,0.10957031250000426,5
MU_1,0.08330078124999574,5
MU_1,0.08945312500000568,5
MU_1,0.08642578125,5
MU_1,0.08183593749999574,5
MU_1,0.08535156250000142,5
MU_1,0.07490234374999716,5
MU_1,0.08261718750000568,5
MU_1,0.08281249999999574,5
MU_1,0.0810546875,5
MU_1,0.09990234375000284,5
MU_1,0.08203125,5
MU_1,0.10068359374999858,5
MU_1,0.09638671874999716,5
MU_1,0.09414062500000142,5
MU_1,0.09375,5
MU_1,0.08535156250000142,5
MU_1,0.08945312499999858,5
MU_1,0.08681640625000142,5
MU_1,0.09912109375,5
MU_1,0.09003906249999716,5
MU_1,0.0869140625,5
MU_1,0.09375,5
MU_1,0.08623046875000284,5
MU_1,0.08779296875000142,5
MU_1,0.09619140625,5
MU_1,0.07626953124999858,5
MU_1,0.07626953124999858,5
MU_1,0.09287109374999858,5
MU_1,0.08193359375000142,5
MU_1,0.08896484374999858,5
MU_1,0.09931640625000426,5
MU_1,0.09033203125,5
MU_1,0.08623046874999574,5
MU_1,0.08535156250000142,5
MU_1,0.08710937500000426,5
MU_1,0.08017578124999858,5
MU_1,0.09404296874999574,5
MU_1,0.08994140625000568,5
MU_1,0.07958984375,5
MU_1,0.08203125,5
MU_1,0.095703125,5
MU_1,0.08798828124999858,5
MU_1,0.08457031249999858,5
MU_1,0.0859375,5
MU_1,0.12578125000000284,5
MU_1,0.08574218749999574,5
MU_1,0.08525390625000284,5
MU_1,0.08388671875000142,5
MU_1,0.0869140625,5
MU_1,0.09199218749999716,5
MU_1,0.09326171875,5
MU_1,0.08876953125000142,5
MU_1,0.08925781250000142,5
MU_1,0.08427734374999574,5
MU_1,0.08369140625000426,5
MU_1,0.08193359374999432,5
MU_1,0.09033203125,5
MU_1,0.07880859375000426,5
MU_1,0.08085937499999574,5
MU_1,0.08144531250000142,5
MU_1,0.09814453125,5
MU_1,0.09589843750000426,5
MU_1,0.09160156249999574,5
MU_1,0.09091796874999858,5
MU_1,0.09414062500000142,5
MU_1,0.08984375,5
MU_1,0.08544921875,5
MU_1,0.09160156250000284,5
MU_1,0.08447265625,5
MU_1,0.09619140625,5
MU_1,0.08085937499999574,5
MU_1,0.08701171875000568,5
MU_1,0.08447265625,5
MU_1,0.08232421874999574,5
MU_1,0.09023437500000142,5
MU_1,0.09072265625000142,5
MU_1,0.09355468749999574,5
MU_1,0.0849609375,5
MU_1,0.08847656250000568,5
MU_1,0.10371093749999716,5
MU_1,0.08388671875000142,5
MU_1,0.08779296875000142,5
MU_1,0.10166015624999858,5
MU_1,0.07968749999999858,5
MU_1,0.08339843750000142,5
MU_1,0.09257812499999574,5
MU_1,0.08935546875,5
MU_1,0.08339843750000142,5
MU_1,0.09013671875000284,5
MU_1,0.08808593749999716,5
MU_1,0.07998046875000142,5
MU_1,0.08427734375000284,5
MU_1,0.08955078124999716,5
MU_1,0.09443359374999716,5
MU_1,0.09130859375,5
MU_1,0.08701171875000568,5
MU_1,0.08642578125,5
MU_1,0.09609374999999432,5
MU_1,0.08935546875,5
MU_1,0.09013671875000284,5
MU_1,0.08408203124999858,5
MU_1,0.08027343750000426,5
MU_1,0.08662109374999716,5
MU_1,0.09160156250000284,5
MU_1,0.08437499999999432,5
MU_1,0.08369140625000426,5
MU_1,0.09365234375000142,5
MU_1,0.09189453124999858,5
MU_1,0.080078125,5
MU_1,0.09941406249999574,5
MU_1,0.08896484375000568,5
MU_1,0.09443359374999716,5
MU_1,0.09804687500000142,5
MU_1,0.09443359374999716,5
MU_1,0.09511718750000142,5
MU_1,0.10878906250000142,5
MU_1,0.0952148437499929,5
MU_1,0.0849609375,5
MU_1,0.09541015625001137,5
MU_1,0.08964843749998863,5
MU_1,0.08388671875000853,5
MU_1,0.07958984375,5
MU_1,0.08476562500000284,5
MU_1,0.09062499999998863,5
MU_1,0.09111328125000284,5
MU_1,0.08583984375000853,5
MU_1,0.08847656249999147,5
MU_1,0.09091796875000568,5
MU_1,0.09628906249999147,5
MU_1,0.10224609375001137,5
MU_1,0.09746093749998863,5
MU_1,0.09443359375001137,5
MU_1,0.09541015624999716,5
MU_1,0.09121093749999432,5
MU_1,0.10693359375,5
MU_1,0.1142578125,5
MU_1,0.09628906250000568,5
MU_1,0.11113281250000284,5
MU_1,0.0927734375,5
MU_1,0.09687499999999716,5
MU_1,0.10078124999999716,5
MU_1,0.09980468749999716,5
MU_1,0.09218750000000853,5
MU_1,0.09257812499998863,5
MU_1,0.10732421875000853,5
MU_1,0.11669921875,5
MU_1,0.09267578124999432,5
MU_1,0.10068359375000568,5
MU_1,0.10175781249999716,5
MU_1,0.09658203124999432,5
MU_1,0.09853515625000853,5
MU_1,0.09375,5
MU_1,0.09111328125000284,5
MU_1,0.09189453124999147,5
MU_1,0.10507812500000568,5
MU_1,0.09169921874999432,5
MU_1,0.09492187499999716,5
MU_1,0.10029296875001137,5
MU_1,0.08281249999998863,5
MU_1,0.091796875,5
MU_1,0.09052734375001137,5
MU_1,0.08681640624999432,5
MU_1,0.10410156250000568,5
MU_1,0.09648437499998863,5
MU_1,0.07587890625001137,5
MU_1,0.0927734375,5
MU_1,0.09462890624999432,5
MU_1,0.09394531249999716,5
MU_1,0.08623046875000284,5
MU_1,0.08808593749999716,5
MU_1,0.09287109375000568,5
MU_1,0.09492187499999716,5
MU_1,0.08857421874999716,5
MU_1,0.09121093750000853,5
MU_1,0.08808593749999716,5
MU_1,0.09052734374999716,5
MU_1,0.08867187500000284,5
MU_1,0.07890625000000284,5
MU_1,0.09316406249999432,5
MU_1,0.09824218750000568,5
MU_1,0.08583984374999432,5
MU_1,0.0947265625,5
MU_1,0.09755859374999432,5
MU_1,0.09755859375000853,5
MU_1,0.09775390624999147,5
MU_1,0.08408203125000568,5
