neuron_id,spike_time
0,2.3500000000999957 ms
0,31.750000000099263 ms
0,60.65000000009763 ms
0,77.45000000010049 ms
0,97.7500000001051 ms
0,117.1000000001095 ms
0,138.00000000011423 ms
0,157.40000000011864 ms
0,182.55000000012436 ms
0,203.8000000001292 ms
0,220.85000000013306 ms
0,242.20000000013792 ms
0,261.9500000001356 ms
0,281.70000000011765 ms
0,298.6000000001023 ms
0,315.15000000008723 ms
0,336.2000000000681 ms
0,354.3000000000516 ms
0,370.20000000003716 ms
0,386.0000000000228 ms
0,404.3500000000061 ms
0,422.04999999999 ms
0,438.8499999999747 ms
0,457.09999999995813 ms
0,477.04999999994 ms
0,491.7499999999266 ms
0,510.49999999990956 ms
0,527.3499999998943 ms
0,543.9499999998792 ms
0,563.3499999998616 ms
0,577.5999999998486 ms
0,597.7999999998302 ms
0,618.949999999811 ms
0,635.3499999997961 ms
0,655.8499999997774 ms
0,677.199999999758 ms
0,699.6999999997375 ms
0,723.2499999997161 ms
0,744.0499999996972 ms
0,769.3999999996742 ms
0,789.5999999996558 ms
0,807.0499999996399 ms
0,828.7499999996202 ms
0,845.6499999996048 ms
0,858.2999999995933 ms
0,878.6999999995747 ms
0,898.3499999995569 ms
0,916.5999999995403 ms
0,942.249999999517 ms
0,961.1999999994997 ms
0,984.2999999994787 ms
0,1009.199999999456 ms
0,1030.5499999994663 ms
0,1048.599999999532 ms
0,1069.0499999996064 ms
0,1091.199999999687 ms
0,1112.099999999763 ms
0,1135.7999999998492 ms
0,1160.4499999999389 ms
0,1181.3000000000147 ms
0,1197.600000000074 ms
0,1223.450000000168 ms
0,1242.950000000239 ms
0,1267.9000000003298 ms
0,1285.300000000393 ms
0,1306.6000000004706 ms
0,1325.8000000005404 ms
0,1343.550000000605 ms
0,1369.2500000006985 ms
0,1396.7500000007985 ms
0,1414.8500000008644 ms
0,1439.9000000009555 ms
0,1462.2500000010368 ms
0,1484.9000000011192 ms
0,1508.6500000012056 ms
0,1524.6000000012637 ms
0,1552.750000001366 ms
0,1576.950000001454 ms
0,1594.1500000015167 ms
0,1608.9500000015705 ms
0,1629.6000000016456 ms
0,1647.2000000017097 ms
0,1666.2000000017788 ms
0,1688.2000000018588 ms
0,1705.4000000019214 ms
0,1725.7000000019952 ms
0,1751.6000000020895 ms
0,1766.9000000021451 ms
0,1786.0000000022146 ms
0,1810.3500000023032 ms
0,1832.1500000023825 ms
0,1859.0000000024802 ms
0,1881.500000002562 ms
0,1901.7000000026355 ms
0,1918.2500000026957 ms
0,1936.8000000027632 ms
0,1958.5500000028424 ms
0,1977.8500000029126 ms
0,2002.8500000030035 ms
0,2020.1000000030663 ms
0,2040.5000000031405 ms
0,2061.9000000032183 ms
0,2076.900000003273 ms
0,2090.5500000033226 ms
0,2107.8500000033855 ms
0,2126.8500000034546 ms
0,2147.7000000035305 ms
0,2169.850000003611 ms
0,2192.0000000036916 ms
0,2216.600000003781 ms
0,2245.150000003885 ms
0,2269.4500000039734 ms
0,2285.7000000040325 ms
0,2306.500000004108 ms
0,2327.0000000041828 ms
0,2344.7500000042473 ms
0,2364.75000000432 ms
0,2384.200000004391 ms
0,2400.50000000445 ms
0,2418.4000000045153 ms
0,2437.050000004583 ms
0,2454.000000004645 ms
0,2474.900000004721 ms
0,2492.4000000047845 ms
0,2509.850000004848 ms
0,2533.8500000049353 ms
0,2555.9000000050155 ms
0,2581.1500000051074 ms
0,2601.5500000051816 ms
0,2622.550000005258 ms
0,2645.5500000053416 ms
0,2674.450000005447 ms
0,2694.000000005518 ms
0,2716.4500000055996 ms
0,2735.85000000567 ms
0,2762.3500000057666 ms
0,2778.650000005826 ms
0,2798.9500000058997 ms
0,2819.950000005976 ms
0,2840.4500000060507 ms
0,2860.100000006122 ms
0,2878.450000006189 ms
0,2894.8000000062484 ms
0,2913.5000000063164 ms
0,2929.8000000063757 ms
0,2947.700000006441 ms
