neuron_id,spike_time
0,5.1000000000000005 ms
0,23.950000000000003 ms
0,28.800000000000004 ms
0,34.550000000000004 ms
0,62.050000000000004 ms
0,93.1 ms
0,107.65 ms
0,112.4 ms
0,117.55000000000001 ms
0,146.65000000000003 ms
0,147.09999999999997 ms
0,147.3 ms
0,148.55 ms
0,160.84999999999997 ms
0,174.65000000000003 ms
0,176.65000000000003 ms
0,178.25 ms
0,185.39999999999998 ms
0,209.95000000000005 ms
0,212.45000000000005 ms
0,219.14999999999998 ms
0,229.39999999999998 ms
0,232.3 ms
0,235.25 ms
0,244.25 ms
0,246.0 ms
0,256.8 ms
0,267.3 ms
0,274.8500000000001 ms
0,275.65000000000003 ms
0,309.05 ms
0,314.8500000000001 ms
0,315.3 ms
0,343.8 ms
0,346.49999999999994 ms
0,349.45 ms
0,351.09999999999997 ms
0,358.45 ms
0,373.59999999999997 ms
0,391.7999999999999 ms
0,399.59999999999997 ms
0,406.7 ms
0,431.34999999999997 ms
0,431.65000000000003 ms
0,431.8 ms
0,433.2999999999999 ms
0,438.09999999999997 ms
0,456.49999999999994 ms
0,466.3999999999999 ms
0,481.2 ms
0,486.4499999999999 ms
0,556.0 ms
0,567.6499999999999 ms
0,572.4999999999998 ms
0,588.3499999999999 ms
0,588.75 ms
0,591.5999999999999 ms
0,613.0999999999999 ms
0,617.25 ms
0,643.0499999999997 ms
0,646.75 ms
0,653.7999999999997 ms
0,666.8499999999999 ms
0,687.8999999999996 ms
0,723.2499999999998 ms
0,760.2999999999997 ms
0,767.7999999999997 ms
0,776.8999999999996 ms
0,801.2999999999997 ms
0,811.9499999999998 ms
0,820.6999999999998 ms
0,825.8499999999997 ms
0,828.4499999999996 ms
0,847.3499999999997 ms
0,851.1499999999996 ms
0,852.6999999999996 ms
0,895.9499999999996 ms
0,897.7499999999995 ms
0,908.2999999999995 ms
0,914.0999999999995 ms
0,1004.4999999999995 ms
0,1015.8499999999995 ms
0,1029.5499999999995 ms
0,1033.0999999999992 ms
0,1039.8499999999997 ms
0,1056.1999999999996 ms
0,1060.5499999999995 ms
0,1084.5999999999992 ms
0,1104.0499999999995 ms
0,1115.6499999999994 ms
0,1121.8499999999992 ms
0,1122.7999999999995 ms
0,1124.7499999999993 ms
0,1165.8499999999992 ms
0,1170.3499999999992 ms
0,1173.5499999999995 ms
0,1180.3499999999992 ms
0,1181.9999999999993 ms
0,1207.0999999999992 ms
0,1207.9999999999993 ms
0,1209.6499999999994 ms
0,1211.2999999999995 ms
0,1212.2499999999998 ms
0,1213.5499999999995 ms
0,1237.2999999999995 ms
0,1243.6999999999996 ms
0,1257.0499999999995 ms
0,1274.5499999999995 ms
0,1304.0499999999995 ms
0,1317.3499999999992 ms
0,1325.8499999999997 ms
0,1329.3999999999994 ms
0,1332.4999999999993 ms
0,1351.2499999999993 ms
0,1353.299999999999 ms
0,1354.9499999999991 ms
0,1377.7499999999993 ms
0,1388.0999999999992 ms
0,1395.7999999999995 ms
0,1397.049999999999 ms
0,1401.399999999999 ms
0,1453.3499999999992 ms
0,1454.7499999999993 ms
0,1467.4499999999996 ms
0,1472.0999999999997 ms
0,1483.9999999999998 ms
0,1499.6499999999999 ms
0,1499.8499999999997 ms
0,1502.0999999999997 ms
0,1506.05 ms
0,1512.5999999999997 ms
0,1530.1999999999996 ms
0,1546.2499999999993 ms
0,1577.4999999999998 ms
0,1595.1999999999996 ms
0,1599.3999999999999 ms
0,1605.4499999999996 ms
0,1609.2499999999993 ms
0,1613.5999999999992 ms
0,1632.6999999999991 ms
0,1633.4499999999996 ms
0,1637.3499999999997 ms
0,1640.8499999999992 ms
0,1666.2999999999995 ms
0,1677.8999999999994 ms
0,1679.9499999999991 ms
0,1692.1999999999996 ms
0,1697.2499999999993 ms
0,1698.1999999999996 ms
0,1714.6999999999991 ms
0,1716.049999999999 ms
0,1720.9499999999991 ms
0,1725.4499999999996 ms
0,1753.4999999999993 ms
0,1754.1499999999994 ms
0,1759.9999999999993 ms
0,1761.299999999999 ms
0,1761.8499999999992 ms
